meanTransistionProbabilitiestableFor-output12cluster6of12.csv,I,bII,II,bIII,III,IV,bV,V,bVI,VI,bVII,VII
I,0.3492,0.0242,0.0122,0.1463,0.1268,0.0076,0.0063,0.0091,0.163,0.0019,0.0384,0.1001
bII,0.4645,0.0,0.0,0.0,0.0,0.0,0.0,0.0452,0.0323,0.1067,0.1514,0.2
II,0.3304,0.0649,0.0,0.1503,0.1564,0.0097,0.0,0.0,0.1234,0.0,0.0,0.1648
bIII,0.0306,0.0,0.0,0.8747,0.0104,0.0,0.0,0.0275,0.0232,0.0,0.0,0.0335
III,0.25,0.0,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0
IV,0.4452,0.0113,0.0033,0.1149,0.1888,0.0033,0.0,0.0041,0.1016,0.0006,0.0824,0.0432
bV,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0
V,0.473,0.052,0.0,0.0806,0.1981,0.0,0.0,0.0,0.0953,0.0119,0.0542,0.0181
bVI,0.1758,0.0,0.0,0.1094,0.2306,0.1176,0.0147,0.0679,0.056,0.0184,0.0607,0.1488
VI,0.1111,0.0833,0.0,0.3389,0.0,0.0778,0.0556,0.0,0.0,0.0,0.0,0.3333
bVII,0.4288,0.0227,0.0,0.1926,0.0547,0.0028,0.0025,0.0,0.1046,0.0,0.0797,0.1003
VII,0.6667,0.0086,0.0,0.0,0.0,0.0,0.2414,0.0,0.0833,0.0,0.0,0.0
