ConfidenceIntervalTransitionalProbabilitiestableFor-output8cluster3of8.csv,I,bII,II,bIII,III,IV,bV,V,bVI,VI,bVII,VII
I,0.2657-0.3603,0.0432-0.097,0.0086-0.035,0.2018-0.3059,0.116-0.2026,0.0824-0.1711,-0.0002-0.0087,-0.0002-0.0055,-0.0004-0.0169,-0.0054-0.0162,0.0004-0.0052,0.0035-0.0495
bII,0.0707-1.0245,-0.1656-0.737,0.0-0.0,-0.2067-0.4924,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0,-0.0345-0.0821,0.0-0.0,0.0-0.0,0.0-0.0
II,0.0054-0.0344,0.036-0.0978,0.0003-0.0302,0.0084-0.0464,0.8002-0.8879,-0.0002-0.0148,-0.0017-0.0072,-0.0013-0.0041,-0.0013-0.0062,-0.0024-0.0093,-0.0022-0.0113,-0.004-0.0122
bIII,-0.0056-0.1806,0.0163-0.3629,-0.0707-0.1957,0.0331-0.4845,-0.0423-0.2465,0.0-0.0,0.0-0.0,-0.0236-0.0652,-0.0004-0.2254,0.0-0.0,-0.033-0.0913,-0.0443-0.3183
III,-0.0042-0.0647,0.0396-0.2507,0.0232-0.1294,0.2796-0.5347,0.0213-0.2028,0.0853-0.2316,0.0-0.0,-0.0282-0.0879,-0.0197-0.0578,-0.0064-0.0188,0.0-0.0,-0.0134-0.0447
IV,0.2765-0.3954,0.0425-0.1245,0.0112-0.0837,0.1384-0.2226,0.1839-0.3068,-0.0007-0.014,-0.001-0.0031,0.0-0.0,-0.0016-0.0521,0.0093-0.0384,0.0008-0.0126,0.0023-0.0554
bV,0.0826-0.5315,-0.0579-0.1632,-0.029-0.0816,-0.0467-0.2572,0.1409-0.6134,0.0-0.0,-0.0579-0.1632,0.0-0.0,-0.0579-0.1632,-0.029-0.0816,0.0-0.0,0.0-0.0
V,0.5539-0.6585,0.0454-0.1157,0.0004-0.0106,0.0673-0.1283,0.105-0.1737,0.0207-0.0597,-0.0012-0.0057,-0.0006-0.0018,-0.0004-0.0018,-0.0007-0.0032,-0.0055-0.0203,-0.0016-0.0085
bVI,-0.0273-0.4023,0.0-0.0,0.0-0.0,-0.0419-0.1835,0.063-0.5704,-0.057-0.307,0.0-0.0,0.0-0.0,-0.0282-0.299,0.0-0.0,-0.0212-0.0587,-0.0345-0.3261
VI,0.0115-0.1087,0.4285-0.6302,0.0401-0.1555,0.0664-0.2039,0.0296-0.1364,0.038-0.1258,-0.0057-0.0202,0.0-0.0,-0.002-0.006,0.0-0.0,0.0-0.0,-0.0015-0.0083
bVII,0.0965-0.3779,-0.0353-0.1868,0.0-0.0,0.0-0.1286,0.0135-0.198,0.0702-0.4313,-0.0082-0.0233,0.0-0.0,0.0106-0.2328,0.0-0.0,-0.0359-0.1673,-0.0146-0.1555
VII,0.1077-0.8257,0.0-0.0,-0.0478-0.4678,-0.0084-0.0217,0.0-0.0,-0.0421-0.1087,-0.0454-0.2121,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0,-0.1016-0.5016
