meanTransistionProbabilitiestableFor-output11cluster6of11.csv,I,bII,II,bIII,III,IV,bV,V,bVI,VI,bVII,VII
I,0.4484,0.0778,0.0053,0.2468,0.097,0.0716,0.003,0.0004,0.0051,0.0,0.0089,0.0323
bII,0.3056,0.0,0.0,0.0278,0.2778,0.0,0.0,0.0,0.0556,0.0,0.3333,0.0
II,0.0248,0.113,0.0025,0.0107,0.8246,0.0042,0.003,0.0025,0.0,0.0,0.0071,0.0076
bIII,0.0667,0.2444,0.0,0.137,0.127,0.0,0.0,0.037,0.237,0.0,0.1032,0.0476
III,0.0569,0.125,0.2765,0.1733,0.2242,0.0984,0.0,0.0,0.0,0.0417,0.0,0.004
IV,0.3553,0.1218,0.0056,0.2465,0.1912,0.0116,0.0,0.0,0.0055,0.0181,0.0055,0.0232
bV,0.4259,0.1111,0.0556,0.0,0.2407,0.0,0.0556,0.0,0.0,0.0556,0.0556,0.0
V,0.5462,0.0623,0.0016,0.1,0.218,0.0234,0.0023,0.0,0.0013,0.0008,0.0122,0.0061
bVI,0.3125,0.0833,0.0,0.1361,0.2145,0.0,0.0,0.0357,0.0746,0.0,0.0607,0.0825
VI,0.2098,0.0957,0.0808,0.2809,0.1213,0.1438,0.0179,0.0,0.0,0.0,0.006,0.0439
bVII,0.3121,0.0075,0.0,0.3345,0.1019,0.0526,0.0,0.0386,0.0561,0.0,0.0371,0.0584
VII,0.2778,0.0833,0.3333,0.0,0.0,0.0556,0.1667,0.0,0.0,0.0833,0.0,0.0
