meanTransistionProbabilitiestableFor-output5cluster5of5.csv,I,bII,II,bIII,III,IV,bV,V,bVI,VI,bVII,VII
I,0.3868,0.0317,0.0025,0.1183,0.0744,0.0182,0.0005,0.0103,0.0477,0.0007,0.1175,0.1848
bII,0.3076,0.0023,0.0357,0.0714,0.0,0.0,0.0,0.1454,0.2148,0.0714,0.0207,0.095
II,0.2019,0.1618,0.0,0.0966,0.2859,0.0584,0.0,0.0,0.1076,0.0,0.0276,0.0602
bIII,0.0816,0.0317,0.0013,0.2356,0.0594,0.002,0.0,0.0185,0.0886,0.0,0.1404,0.3368
III,0.0256,0.2529,0.2005,0.1703,0.0128,0.1712,0.0192,0.0962,0.0385,0.0,0.0,0.0
IV,0.2486,0.0303,0.0336,0.1968,0.1558,0.0004,0.0,0.0103,0.1077,0.0022,0.1208,0.088
bV,0.2,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0
V,0.4436,0.008,0.0087,0.2017,0.1422,0.0099,0.0,0.0,0.0076,0.0,0.1226,0.0344
bVI,0.0708,0.0014,0.0,0.0758,0.1247,0.019,0.0017,0.0121,0.0612,0.0027,0.063,0.5676
VI,0.0883,0.1076,0.0451,0.2832,0.0626,0.101,0.0,0.0,0.0,0.0,0.0712,0.2368
bVII,0.6697,0.0016,0.0,0.07,0.0279,0.0037,0.0043,0.004,0.0459,0.0003,0.0849,0.0799
VII,0.5,0.0,0.0,0.125,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0
