meanTransistionProbabilitiestableFor-output12cluster3of12.csv,I,bII,II,bIII,III,IV,bV,V,bVI,VI,bVII,VII
I,0.3527,0.0356,0.0035,0.1174,0.089,0.0282,0.0008,0.0129,0.0324,0.0,0.1638,0.1617
bII,0.2984,0.0032,0.05,0.1,0.0,0.0,0.0,0.181,0.2845,0.0,0.0,0.0329
II,0.2159,0.2114,0.0,0.1049,0.234,0.0,0.0,0.0,0.1363,0.0,0.0313,0.0663
bIII,0.0612,0.0266,0.0025,0.1023,0.0576,0.0038,0.0,0.0197,0.1008,0.0,0.2004,0.4251
III,0.0,0.2288,0.2273,0.2214,0.0167,0.0892,0.025,0.125,0.05,0.0,0.0,0.0
IV,0.1532,0.0314,0.0376,0.1612,0.2237,0.0007,0.0,0.0112,0.0825,0.0,0.1784,0.1104
bV,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V,0.5286,0.0029,0.0153,0.1002,0.1209,0.0151,0.0,0.0,0.0026,0.0,0.1732,0.0268
bVI,0.0505,0.002,0.0,0.0484,0.0939,0.0036,0.0024,0.0,0.0411,0.004,0.044,0.7101
VI,0.0667,0.1166,0.0325,0.2727,0.103,0.1644,0.0,0.0,0.0,0.0,0.1078,0.1364
bVII,0.6375,0.0,0.0,0.0785,0.0401,0.0053,0.0064,0.007,0.041,0.0006,0.084,0.0955
VII,0.3333,0.0,0.0,0.1667,0.0,0.0,0.3333,0.0,0.0,0.0,0.0,0.0
