ConfidenceIntervalTransitionalProbabilitiestableFor-output11cluster10of11.csv,I,bII,II,bIII,III,IV,bV,V,bVI,VI,bVII,VII
I,0.4866-0.6267,-0.0007-0.0047,-0.0021-0.0116,0.1263-0.2209,0.1206-0.2752,-0.0007-0.0358,0.0-0.0,-0.0008-0.0023,-0.0018-0.0135,-0.0003-0.0009,-0.0007-0.0083,0.0023-0.0645
bII,-2.7362-3.264,0.0-0.0,0.0-0.0,-2.9266-3.4266,0.0-0.0,0.0-0.0,0.0-0.0,-3.7395-4.3784,0.0-0.0,-0.6503-0.7615,-0.6503-0.7615,-0.6503-0.7615
II,-0.0246-0.446,-0.0945-0.5421,-0.0748-0.17,-0.0393-0.0893,-0.063-0.2868,-0.1114-0.7066,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0,-0.1309-0.2975
bIII,-0.0335-0.628,0.0-0.0,0.0-0.0,-0.0282-0.0806,0.0-0.0,0.0-0.0,0.0-0.0,-0.1378-0.3283,-0.038-0.2441,0.0-0.0,-0.0907-0.4458,-0.0838-0.6592
III,-0.0781-0.6495,-0.1495-0.5781,-0.0828-0.3685,-0.062-0.1477,0.0-0.0,-0.1242-0.7527,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0
IV,0.4764-0.6326,-0.0005-0.0185,-0.0011-0.0081,0.1884-0.2915,0.0414-0.1043,-0.0029-0.0531,0.0-0.0,0.0-0.0,-0.004-0.087,-0.0028-0.0129,-0.0102-0.047,-0.0055-0.0658
bV,-0.2801-1.0801,0.0-0.0,0.0-0.0,-0.3553-0.7553,-0.3553-0.7553,0.0-0.0,0.0-0.0,-0.1579-0.3357,0.0-0.0,-0.1184-0.2518,-0.079-0.1678,0.0-0.0
V,0.0254-0.1013,-0.0023-0.0069,-0.005-0.0147,0.8258-0.9204,0.0068-0.0471,-0.0019-0.0108,0.0-0.0,0.0-0.0,0.0-0.0,-0.0021-0.0061,-0.0056-0.0168,-0.0087-0.028
bVI,-0.013-0.0572,0.0-0.0,0.0-0.0,-0.0417-0.489,-0.0293-0.6077,-0.0544-0.1378,0.0-0.0,-0.0484-0.1224,-0.1451-0.3673,-0.0967-0.2449,-0.0348-0.2677,-0.1106-0.2799
VI,-0.005-0.0704,-0.0607-0.2065,0.0-0.0,0.0262-0.4168,0.1614-0.6698,0.0293-0.2978,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0,-0.0354-0.0979,-0.0707-0.1957
bVII,0.2202-0.6911,0.0-0.0,0.0-0.0,0.0065-0.2198,-0.0101-0.0659,0.0-0.0,0.0-0.0,0.0-0.0,-0.0659-0.3267,0.0-0.0,-0.0576-0.3343,0.0004-0.262
VII,nan-nan,nan-nan,nan-nan,nan-nan,nan-nan,nan-nan,nan-nan,nan-nan,nan-nan,nan-nan,nan-nan,nan-nan
