ConfidenceIntervalTransitionalProbabilitiestableFor-output10cluster7of10.csv,I,bII,II,bIII,III,IV,bV,V,bVI,VI,bVII,VII
I,0.2724-0.3647,0.0557-0.1156,0.0116-0.0445,0.1817-0.2785,0.1114-0.193,0.0799-0.1638,-0.005-0.0363,-0.0001-0.0052,-0.0002-0.0164,-0.005-0.0152,0.0006-0.0052,0.0037-0.0469
bII,0.0511-0.8192,-0.051-0.7177,0.0-0.0,-0.1341-0.3748,-0.1209-0.3061,0.0-0.0,0.0-0.0,0.0-0.0,-0.0242-0.0612,0.0-0.0,0.0-0.0,0.0-0.0
II,0.0087-0.0384,0.0585-0.1292,0.0026-0.023,0.0137-0.055,0.7429-0.8451,-0.0001-0.028,-0.005-0.0244,-0.0007-0.008,-0.0012-0.0058,-0.0022-0.0088,-0.0021-0.0106,-0.0038-0.0114
bIII,-0.0059-0.1925,0.0181-0.3863,-0.0763-0.2097,-0.036-0.3214,-0.0208-0.3552,0.0-0.0,0.0-0.0,-0.0254-0.0699,-0.0002-0.2402,0.0-0.0,-0.0284-0.1073,-0.0478-0.3401
III,0.0005-0.0735,0.044-0.2205,0.064-0.2061,0.2075-0.4299,0.0514-0.2174,0.0984-0.2252,-0.0118-0.0351,-0.0227-0.0712,-0.0158-0.0468,-0.0087-0.042,0.0-0.0,-0.0108-0.0363
IV,0.2708-0.3842,0.0406-0.1219,0.0161-0.0909,0.1445-0.2279,0.1877-0.3099,0.0009-0.0193,-0.001-0.0031,0.0-0.0,-0.0076-0.0386,0.0091-0.0379,0.0015-0.0139,0.0034-0.0567
bV,0.0771-0.5062,-0.0547-0.1547,-0.0273-0.0773,-0.0441-0.2441,0.1316-0.5851,0.0-0.0,-0.0395-0.1895,0.0-0.0,-0.0547-0.1547,-0.0273-0.0773,-0.0273-0.0773,0.0-0.0
V,0.5432-0.6483,0.0344-0.0929,0.0023-0.0141,0.0697-0.1319,0.1212-0.1889,0.0238-0.0641,-0.0007-0.0065,-0.0006-0.0017,-0.0006-0.004,-0.0006-0.003,-0.0042-0.0203,-0.0011-0.0077
bVI,0.0273-0.4171,0.0-0.0,0.0-0.0,-0.0246-0.1783,0.0298-0.4498,-0.024-0.3574,0.0-0.0,0.0-0.0,-0.0026-0.2989,0.0-0.0,-0.0185-0.0518,-0.0302-0.2894
VI,0.0115-0.0978,0.4595-0.6424,0.041-0.1465,0.0686-0.192,0.0165-0.0733,0.0597-0.1486,-0.0041-0.037,0.0-0.0,-0.0018-0.0053,0.0-0.0,0.0-0.0,-0.0013-0.0073
bVII,0.0785-0.3163,-0.0353-0.1868,0.0-0.0,0.0014-0.2197,0.0135-0.198,0.0702-0.4313,-0.0082-0.0233,-0.036-0.1027,0.0106-0.2328,0.0-0.0,-0.0218-0.0622,-0.0186-0.1708
VII,0.0612-0.6055,-0.0414-0.1129,0.0734-0.4769,-0.0055-0.015,-0.004-0.011,-0.0234-0.1233,0.0031-0.2349,0.0-0.0,0.0-0.0,-0.0414-0.1129,0.0-0.0,-0.0668-0.3525
