ConfidenceIntervalTransitionalProbabilitiestableFor-output11cluster4of11.csv,I,bII,II,bIII,III,IV,bV,V,bVI,VI,bVII,VII
I,0.2486-0.4365,0.0098-0.0705,-0.0119-0.0351,0.0865-0.2174,0.0516-0.234,-0.0124-0.0599,-0.0062-0.0182,-0.0021-0.0283,0.061-0.22,-0.0019-0.0055,0.0039-0.0532,0.0285-0.1493
bII,0.152-0.8826,-0.1451-0.3673,0.0-0.0,0.0-0.0,-0.0701-0.2923,0.0-0.0,0.0-0.0,-0.0328-0.0829,-0.0234-0.0592,0.0-0.0,-0.0166-0.2293,-0.1451-0.3673
II,0.0013-0.4397,-0.0455-0.1212,0.0-0.0,-0.0254-0.2378,0.148-0.6503,-0.0795-0.2337,0.0-0.0,-0.0751-0.2001,-0.0683-0.2361,0.0-0.0,0.0-0.0,-0.0154-0.041
bIII,0.003-0.055,-0.0139-0.0409,-0.0056-0.0164,0.8267-0.9578,-0.0062-0.0422,0.0-0.0,0.0-0.0,-0.0085-0.0335,-0.003-0.0246,0.0-0.0,0.0-0.0,-0.0145-0.0517
III,-0.5311-1.1422,0.0-0.0,-0.1908-0.4315,-0.1908-0.4315,0.0-0.0,-0.2752-0.4419,0.0-0.0,0.0-0.0,-1.1009-1.7676,0.0-0.0,-0.1223-0.1964,0.0-0.0
IV,0.2296-0.445,0.0003-0.043,-0.0023-0.0131,0.0892-0.1841,0.1308-0.3075,-0.0034-0.0189,0.0-0.0,-0.004-0.0117,0.0416-0.2041,-0.0018-0.0136,0.0095-0.1368,0.0037-0.1266
bV,0.0-0.0,0.0-0.0,0.0-0.0,-0.0748-1.0748,-0.0748-1.0748,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0
V,0.4177-0.6219,0.0134-0.1322,0.0-0.0,0.0391-0.151,0.0773-0.2276,-0.0102-0.0296,-0.001-0.0028,0.0-0.0,-0.0029-0.171,-0.005-0.0236,-0.0002-0.049,-0.0034-0.0347
bVI,0.0366-0.3257,0.0-0.0,0.0-0.0,-0.02-0.2241,0.1227-0.5772,-0.006-0.0167,-0.0165-0.0459,-0.0286-0.2527,-0.0259-0.2703,0.0-0.0,-0.0208-0.1275,0.0047-0.1137
VI,-0.1378-0.3283,-0.0742-0.3123,-0.0954-0.2273,-0.0364-0.4983,-0.2067-0.4924,-0.0823-0.2394,-0.0689-0.1641,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0,-0.1486-0.5881
bVII,0.1036-0.441,-0.0259-0.0735,0.0-0.0,0.0635-0.3276,-0.0093-0.184,-0.0032-0.0092,-0.004-0.0113,0.0-0.0,-0.007-0.2209,0.0-0.0,0.0358-0.2754,0.0398-0.2448
VII,-0.3789-1.2123,-0.0188-0.0361,0.0-0.0,0.0-0.0,-0.2728-0.5228,0.0-0.0,-0.5268-1.0096,0.0-0.0,-0.1895-0.6061,0.0-0.0,0.0-0.0,0.0-0.0
