ConfidenceIntervalTransitionalProbabilitiestableFor-output12cluster12of12.csv,I,bII,II,bIII,III,IV,bV,V,bVI,VI,bVII,VII
I,0.5156-0.6609,-0.0008-0.0056,-0.0009-0.0027,0.1045-0.2048,0.091-0.2235,-0.0029-0.0264,0.0-0.0,0.0-0.0,-0.0021-0.016,-0.0004-0.001,-0.0016-0.0203,0.0033-0.1271
bII,-2.9266-3.4266,0.0-0.0,0.0-0.0,-2.9266-3.4266,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0,-5.8531-6.8531,0.0-0.0,0.0-0.0
II,-0.1066-0.4409,-0.124-0.6611,-0.1015-0.2158,-0.0533-0.1133,-0.0361-0.1333,-0.2021-0.8592,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0,-0.1776-0.3776
bIII,-0.0273-0.4897,0.0-0.0,0.0-0.0,-0.0198-0.0606,-0.1451-0.3673,0.0-0.0,0.0-0.0,-0.0967-0.2449,-0.0127-0.2841,0.0-0.0,-0.0234-0.4107,-0.0608-0.5084
III,-0.3838-1.0504,-0.7421-1.7421,-0.5504-0.8838,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0
IV,0.4128-0.596,-0.0016-0.0205,-0.0023-0.0068,0.201-0.3124,0.0327-0.097,-0.0141-0.0415,0.0-0.0,-0.0054-0.0159,-0.0047-0.103,-0.0034-0.0153,-0.0072-0.0718,0.0045-0.1075
bV,-0.2801-1.0801,0.0-0.0,0.0-0.0,-0.3553-0.7553,-0.3553-0.7553,0.0-0.0,0.0-0.0,0.0-0.0,-0.3553-0.7553,0.0-0.0,0.0-0.0,0.0-0.0
V,0.0127-0.0803,-0.0028-0.0082,0.0-0.0,0.8342-0.931,0.0063-0.0618,-0.0022-0.0129,0.0-0.0,0.0-0.0,0.0-0.0,-0.0025-0.0072,-0.0068-0.0199,-0.011-0.0326
bVI,-0.0316-0.1086,0.0-0.0,0.0-0.0,0.0138-0.6557,0.0119-0.6272,0.0-0.0,0.0-0.0,0.0-0.0,-0.1451-0.3673,0.0-0.0,-0.0246-0.207,-0.0901-0.2998
VI,-0.0107-0.1415,-0.0284-0.0701,0.0-0.0,0.0925-0.7935,-0.0306-0.1931,0.026-0.5032,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0,-0.1706-0.4206
bVII,0.3313-0.7655,0.0-0.0,0.0-0.0,-0.0032-0.1462,-0.0101-0.0659,0.0-0.0,0.0-0.0,0.0-0.0,-0.0566-0.333,0.0-0.0,-0.0202-0.1698,-0.0003-0.2679
VII,nan-nan,nan-nan,nan-nan,nan-nan,nan-nan,nan-nan,nan-nan,nan-nan,nan-nan,nan-nan,nan-nan,nan-nan
