meanTransistionProbabilitiestableFor-output10cluster5of10.csv,I,bII,II,bIII,III,IV,bV,V,bVI,VI,bVII,VII
I,0.3807,0.0366,0.0031,0.0862,0.0847,0.0145,0.0007,0.011,0.0411,0.0,0.1566,0.1814
bII,0.1984,0.0032,0.05,0.1,0.0,0.0,0.0,0.181,0.2845,0.1,0.0,0.0329
II,0.202,0.2042,0.0,0.0884,0.3516,0.0,0.0,0.0,0.0621,0.0,0.0359,0.0558
bIII,0.031,0.0537,0.0022,0.1421,0.0696,0.0034,0.0,0.0173,0.081,0.0,0.1344,0.4653
III,0.0,0.2288,0.2273,0.2214,0.0167,0.0892,0.025,0.125,0.05,0.0,0.0,0.0
IV,0.226,0.0352,0.0333,0.168,0.201,0.0006,0.0,0.0145,0.0725,0.0,0.1422,0.0982
bV,0.0,0.0,0.0,0.6667,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.0
V,0.4452,0.0128,0.0146,0.1243,0.1807,0.0143,0.0,0.0,0.0025,0.0,0.1622,0.0188
bVI,0.0588,0.0019,0.0,0.0654,0.0833,0.0243,0.0023,0.0,0.0473,0.0038,0.0484,0.6646
VI,0.1306,0.1068,0.0298,0.1667,0.0944,0.1507,0.0,0.0,0.0,0.0,0.1127,0.2083
bVII,0.7052,0.0025,0.0,0.074,0.0113,0.0047,0.0067,0.0062,0.0303,0.0005,0.0736,0.0814
VII,0.5,0.0,0.0,0.125,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0
