ConfidenceIntervalTransitionalProbabilitiestableFor-output12cluster11of12.csv,I,bII,II,bIII,III,IV,bV,V,bVI,VI,bVII,VII
I,0.2539-0.4032,0.0128-0.103,0.0011-0.0201,0.1493-0.3137,0.0693-0.2022,-0.0078-0.0791,0.0-0.0,-0.0008-0.0043,-0.0001-0.0097,-0.0011-0.0033,-0.0013-0.0086,0.1089-0.2557
bII,-0.273-0.8063,0.0-0.0,-0.0592-0.1259,0.0-0.0,-0.1184-0.2518,0.0-0.0,0.0-0.0,-0.0592-0.1259,0.0-0.0,-0.1784-0.685,-0.1616-0.8549,0.0-0.0
II,0.0777-0.3297,0.0746-0.2286,-0.0243-0.1953,0.0525-0.3147,0.1359-0.3544,-0.0143-0.1881,-0.0054-0.0157,0.0-0.0,-0.0042-0.0216,0.0-0.0,0.0-0.0,-0.0021-0.0614
bIII,0.0204-0.4372,-0.0322-0.3729,-0.0153-0.0419,-0.0046-0.1624,-0.0338-0.2595,0.0-0.0,-0.0763-0.2097,0.0-0.0,-0.02-0.1395,0.0-0.0,-0.0447-0.2574,-0.0272-0.3531
III,-0.0429-0.1485,0.0398-0.467,0.0118-0.2089,-0.0035-0.033,0.0109-0.3736,0.0047-0.3108,-0.0392-0.3058,0.0-0.0,-0.0763-0.2097,0.0-0.0,-0.0085-0.0233,-0.0082-0.0225
IV,0.5339-0.6921,0.0073-0.0397,-0.0012-0.0663,0.0624-0.1512,0.059-0.1569,0.0008-0.0379,0.0-0.0,0.0-0.0,-0.0034-0.0396,-0.0025-0.0073,-0.0012-0.0161,0.0244-0.1053
bV,0.0-0.0,0.0-0.0,-0.2802-0.6881,-0.2801-1.0801,0.0-0.0,0.0-0.0,-0.2221-0.4721,-0.148-0.3901,-0.0888-0.1888,-0.0888-0.1888,-0.0888-0.1888,0.0-0.0
V,0.1602-0.3074,0.0065-0.1226,0.0058-0.074,0.0931-0.238,0.232-0.3895,0.0226-0.0901,-0.0007-0.0019,-0.0016-0.0046,-0.0071-0.0625,-0.0028-0.0082,-0.0042-0.0486,0.0176-0.11
bVI,-0.0242-0.264,0.0-0.0,0.0-0.0,-0.0054-0.0151,-0.0265-0.267,-0.0142-0.0769,0.0-0.0,-0.0393-0.1715,0.001-0.4024,-0.0613-0.2055,0.0241-0.2643,0.0246-0.4546
VI,-0.0039-0.175,0.0569-0.3624,0.0065-0.215,0.0178-0.2829,-0.0064-0.1075,-0.0014-0.1228,-0.0004-0.0012,0.0-0.0,0.0-0.0,0.0-0.0,-0.0373-0.1471,0.0979-0.4565
bVII,0.0187-0.0832,-0.0074-0.0366,0.0-0.0,0.7839-0.9003,0.0037-0.0431,-0.0039-0.0635,-0.0004-0.0124,0.0-0.0,-0.0026-0.0132,0.0-0.0,-0.0099-0.0296,0.0033-0.0326
VII,0.0878-0.8011,0.0-0.0,-0.0726-0.1837,-0.0726-0.1837,-0.0726-0.1837,-0.0373-0.1196,-0.0256-0.3023,0.0-0.0,-0.052-0.2315,-0.1451-0.3673,-0.0112-0.0283,0.0-0.0
