meanTransistionProbabilitiestableFor-output9cluster8of9.csv,I,bII,II,bIII,III,IV,bV,V,bVI,VI,bVII,VII
I,0.2925,0.0879,0.0371,0.2221,0.1519,0.1723,0.003,0.0,0.0009,0.0,0.0201,0.0114
bII,0.4195,0.0476,0.0,0.0,0.0,0.0,0.0,0.1297,0.1429,0.0345,0.0,0.2143
II,0.1799,0.0649,0.1113,0.2976,0.2027,0.0651,0.0197,0.0,0.0,0.0128,0.0011,0.045
bIII,0.0104,0.1944,0.0333,0.0,0.0483,0.0833,0.0,0.0833,0.2117,0.0333,0.2601,0.0208
III,0.0196,0.26,0.0968,0.2291,0.0551,0.2553,0.0,0.0167,0.0341,0.0156,0.0,0.0156
IV,0.0555,0.0246,0.0224,0.0512,0.8229,0.0072,0.0,0.0,0.0013,0.0,0.0023,0.0121
bV,0.0,0.0,0.3333,0.0,0.1667,0.0,0.1667,0.3333,0.0,0.0,0.0,0.0
V,0.6132,0.017,0.0199,0.1384,0.122,0.0633,0.0,0.0052,0.0031,0.0,0.0137,0.0
bVI,0.2209,0.0,0.0,0.0455,0.3345,0.1176,0.0,0.0588,0.0,0.0,0.0851,0.1376
VI,0.0946,0.0883,0.0472,0.4311,0.1608,0.1539,0.0088,0.0,0.0027,0.0014,0.0088,0.0
bVII,0.2669,0.0385,0.0,0.0,0.1754,0.0308,0.0769,0.0,0.2308,0.0,0.1038,0.0769
VII,0.225,0.0,0.0261,0.3739,0.25,0.0,0.075,0.0,0.05,0.0,0.0,0.0
