meanTransistionProbabilitiestableFor-output10cluster7of10.csv,I,bII,II,bIII,III,IV,bV,V,bVI,VI,bVII,VII
I,0.3186,0.0857,0.028,0.2301,0.1522,0.1219,0.0156,0.0025,0.0081,0.0051,0.0029,0.0253
bII,0.4352,0.3333,0.0,0.1204,0.0926,0.0,0.0,0.0,0.0185,0.0,0.0,0.0
II,0.0235,0.0939,0.0128,0.0343,0.794,0.0139,0.0097,0.0036,0.0023,0.0033,0.0042,0.0038
bIII,0.0933,0.2022,0.0667,0.1427,0.1672,0.0,0.0,0.0222,0.12,0.0,0.0394,0.1462
III,0.037,0.1323,0.1351,0.3187,0.1344,0.1618,0.0116,0.0243,0.0155,0.0167,0.0,0.0127
IV,0.3275,0.0813,0.0535,0.1862,0.2488,0.0101,0.001,0.0,0.0155,0.0235,0.0077,0.0301
bV,0.2917,0.05,0.025,0.1,0.3583,0.0,0.075,0.0,0.05,0.025,0.025,0.0
V,0.5957,0.0636,0.0082,0.1008,0.155,0.044,0.0029,0.0006,0.0017,0.0012,0.008,0.0033
bVI,0.2222,0.0,0.0,0.0769,0.2398,0.1667,0.0,0.0,0.1481,0.0,0.0167,0.1296
VI,0.0547,0.5509,0.0938,0.1303,0.0449,0.1041,0.0164,0.0,0.0018,0.0,0.0,0.003
bVII,0.1974,0.0758,0.0,0.1105,0.1057,0.2508,0.0076,0.0333,0.1217,0.0,0.0202,0.0761
VII,0.3333,0.0357,0.2751,0.0048,0.0035,0.0499,0.119,0.0,0.0,0.0357,0.0,0.1429
