ConfidenceIntervalTransitionalProbabilitiestableFor-output12cluster2of12.csv,I,bII,II,bIII,III,IV,bV,V,bVI,VI,bVII,VII
I,0.172-0.2997,0.0581-0.1657,0.0415-0.1647,0.1935-0.3267,0.1045-0.2257,0.0321-0.1154,-0.0007-0.0019,-0.0002-0.0005,-0.0063-0.0615,0.0-0.0,-0.0005-0.0049,0.0028-0.0229
bII,-0.5456-1.0456,-0.2728-0.5228,0.0-0.0,-0.5456-1.0456,0.0-0.0,0.0-0.0,0.0-0.0,-0.2093-0.7093,0.0-0.0,-0.2728-0.5228,0.0-0.0,0.0-0.0
II,0.1107-0.3252,0.0138-0.1618,0.0125-0.1191,0.071-0.243,0.2068-0.4573,0.0024-0.0763,0.0-0.0,0.0-0.0,-0.0236-0.1089,-0.0193-0.1031,0.0-0.0,-0.0106-0.0416
bIII,-0.0664-0.3391,-0.1001-0.2667,-0.0924-0.2729,-0.078-0.2864,-0.0128-0.1378,0.0-0.0,0.0-0.0,0.0-0.0,-0.0502-0.203,0.0-0.0,-0.0234-0.4905,-0.0407-0.4398
III,0.0-0.0,0.014-0.0959,0.0028-0.0691,0.7232-0.8718,-0.006-0.0685,0.0289-0.1297,0.0-0.0,-0.0011-0.0033,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0
IV,0.2866-0.4391,0.0267-0.1113,0.0123-0.1067,0.0895-0.21,0.1777-0.3589,0.0105-0.0579,-0.0026-0.0078,-0.0009-0.0026,-0.0022-0.0154,-0.0021-0.0284,-0.0006-0.0149,-0.0027-0.0373
bV,-0.1706-0.4206,0.0-0.0,0.0-0.0,0.0-0.0,0.0531-0.9469,-0.1706-0.4206,0.0-0.0,0.0-0.0,-0.1706-0.4206,0.0-0.0,0.0-0.0,-0.1706-0.4206
V,0.3337-0.5113,0.0233-0.106,0.0013-0.0513,0.1099-0.2265,0.1152-0.2346,0.0624-0.1663,-0.0015-0.0043,0.0-0.0,-0.0025-0.0126,0.0-0.0,-0.0029-0.0374,-0.0013-0.0091
bVI,0.0069-0.2401,0.0-0.0,0.0-0.0,-0.0642-0.5087,-0.0743-0.5928,-0.1451-0.3673,-0.0112-0.0283,0.0-0.0,-0.1103-0.4119,-0.0311-0.0787,-0.0682-0.2525,-0.0112-0.0283
VI,0.0007-0.1466,0.0643-0.214,0.2133-0.4517,0.0469-0.2128,0.0615-0.2251,0.0583-0.2139,-0.0059-0.0173,-0.0314-0.092,0.0-0.0,0.0-0.0,0.0-0.0,-0.0039-0.0115
bVII,0.0023-0.2422,-0.0509-0.1398,0.0-0.0,0.1427-0.6095,-0.0268-0.3004,-0.0552-0.2552,-0.0655-0.221,0.0-0.0,-0.0203-0.1454,0.0-0.0,-0.0382-0.1048,-0.0382-0.1048
VII,-0.1459-0.7014,0.0-0.0,-0.1963-0.4463,0.0-0.0,0.0-0.0,-0.2618-0.5951,-0.1043-0.4376,0.0-0.0,-0.0873-0.1984,-0.2618-0.5951,0.0-0.0,0.0-0.0
