ConfidenceIntervalTransitionalProbabilitiestableFor-output11cluster3of11.csv,I,bII,II,bIII,III,IV,bV,V,bVI,VI,bVII,VII
I,0.2329-0.3545,0.0356-0.1367,0.0016-0.0688,0.1785-0.2972,0.0623-0.1669,0.1198-0.2566,-0.0021-0.0086,0.0-0.0,-0.0008-0.0035,0.0-0.0,0.0017-0.041,-0.0002-0.0341
bII,-0.0655-0.9448,-0.0779-0.1494,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0,-0.1272-0.5717,-0.2338-0.4481,-0.0564-0.1082,0.0-0.0,-0.2148-0.5362
II,0.0773-0.2808,0.0439-0.1864,0.0127-0.14,0.1304-0.3888,0.1068-0.2984,0.0068-0.1097,-0.0227-0.0666,-0.0147-0.0433,0.0-0.0,-0.0147-0.0433,-0.0012-0.0036,-0.0107-0.1252
bIII,-0.0125-0.0333,-0.0284-0.4589,-0.04-0.1067,-0.05-0.1334,-0.0361-0.1327,-0.1001-0.2667,0.0-0.0,-0.1001-0.2667,0.0272-0.4379,-0.04-0.1067,-0.0396-0.3932,-0.025-0.0667
III,-0.0042-0.0877,0.1446-0.4609,0.0318-0.1977,0.0183-0.1544,0.022-0.2381,0.1017-0.3479,0.0-0.0,-0.0093-0.0488,-0.0358-0.1166,-0.0195-0.0566,0.0-0.0,-0.0195-0.0566
IV,0.0316-0.0795,0.0039-0.0374,0.0078-0.0408,0.0327-0.0888,0.7624-0.8713,-0.0-0.0061,0.0-0.0,0.0-0.0,-0.0014-0.0041,0.0-0.0,-0.006-0.0223,-0.0053-0.0226
bV,0.0-0.0,0.0-0.0,-1.1009-1.7676,0.0-0.0,-0.5504-0.8838,0.0-0.0,-0.5504-0.8838,-1.1009-1.7676,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0
V,0.5696-0.6996,-0.0003-0.038,0.0035-0.0477,0.0835-0.1724,0.0692-0.136,0.0297-0.0856,0.0-0.0,-0.0039-0.015,-0.0013-0.008,0.0-0.0,0.0033-0.0263,-0.001-0.01
bVI,-0.001-0.3812,0.0-0.0,0.0-0.0,-0.0255-0.0929,0.2025-0.634,-0.0617-0.1728,0.0-0.0,-0.0617-0.1728,-0.0308-0.0864,0.0-0.0,-0.0452-0.2059,-0.0067-0.2842
VI,0.0348-0.1395,0.0358-0.1181,0.0034-0.0575,0.3802-0.5933,0.0604-0.2233,0.0905-0.2037,-0.0095-0.0284,0.0-0.0,-0.0029-0.0087,-0.0015-0.0045,-0.007-0.0339,-0.0024-0.0071
bVII,0.1161-0.4979,-0.0329-0.0918,0.0-0.0,-0.0659-0.1835,-0.0224-0.2319,-0.049-0.2137,-0.0585-0.1909,0.0-0.0,-0.0293-0.3234,0.0-0.0,-0.0114-0.1997,-0.0116-0.2322
VII,-0.1733-0.8816,0.0-0.0,-0.0341-0.0776,-0.1968-0.82,-0.212-0.6287,0.0-0.0,-0.0982-0.2232,0.0-0.0,-0.0654-0.1488,0.0-0.0,0.0-0.0,0.0-0.0
