meanTransistionProbabilitiestableFor-output5cluster4of5.csv,I,bII,II,bIII,III,IV,bV,V,bVI,VI,bVII,VII
I,0.2794,0.0846,0.0355,0.2688,0.139,0.1182,0.0139,0.0029,0.0152,0.008,0.0039,0.0268
bII,0.3009,0.3333,0.0,0.0602,0.0591,0.0,0.0214,0.0769,0.0648,0.0833,0.0,0.0
II,0.0664,0.0754,0.0343,0.0316,0.7479,0.0179,0.0073,0.0045,0.0019,0.002,0.0051,0.0039
bIII,0.0599,0.2105,0.0286,0.198,0.1574,0.0,0.0,0.0159,0.1152,0.0,0.093,0.1215
III,0.0334,0.0827,0.0841,0.1663,0.0461,0.5406,0.0104,0.0109,0.0108,0.0075,0.0,0.0057
IV,0.3549,0.085,0.0821,0.1662,0.2131,0.0107,0.0013,0.0002,0.016,0.0148,0.0068,0.039
bV,0.1637,0.0595,0.0179,0.1312,0.3498,0.0357,0.1444,0.0,0.0357,0.0303,0.0318,0.0
V,0.5691,0.07,0.0288,0.0965,0.1516,0.0454,0.0026,0.0003,0.0041,0.0036,0.007,0.0075
bVI,0.3261,0.0513,0.0,0.0419,0.2132,0.0513,0.002,0.0299,0.0812,0.0082,0.0735,0.1213
VI,0.0901,0.5105,0.0516,0.1497,0.0558,0.1095,0.0124,0.0038,0.001,0.0,0.0025,0.0123
bVII,0.1516,0.0446,0.0193,0.281,0.0657,0.2057,0.0193,0.0131,0.0824,0.0,0.0333,0.0746
VII,0.1603,0.0417,0.464,0.0022,0.01,0.0495,0.0722,0.0267,0.0333,0.0167,0.0,0.1151
