meanTransistionProbabilitiestableFor-output10cluster3of10.csv,I,bII,II,bIII,III,IV,bV,V,bVI,VI,bVII,VII
I,0.3236,0.0324,0.0648,0.2192,0.2832,0.0439,0.0,0.0009,0.0,0.0,0.0103,0.0185
bII,0.0139,0.0,0.0,0.4,0.0,0.0,0.0,0.4194,0.0,0.0556,0.0556,0.0556
II,0.2134,0.0854,0.0568,0.2688,0.2282,0.1051,0.0,0.0,0.0015,0.0228,0.0,0.0162
bIII,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0714,0.3571,0.0,0.0714
III,0.0327,0.23,0.0775,0.3474,0.047,0.2654,0.0,0.0,0.0,0.0,0.0,0.0
IV,0.3259,0.0375,0.0371,0.1831,0.3021,0.0874,0.0,0.0,0.003,0.0,0.0,0.0194
bV,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.3611,0.0,0.0833,0.0556,0.0
V,0.2958,0.0683,0.0275,0.3191,0.1846,0.066,0.0015,0.0,0.0015,0.0,0.003,0.0268
bVI,0.0,0.0,0.0,0.0417,0.0208,0.0208,0.0,0.1111,0.0,0.2222,0.0208,0.5625
VI,0.0161,0.0102,0.0424,0.0401,0.867,0.0134,0.0,0.0,0.0,0.0,0.0,0.0108
bVII,0.0337,0.0,0.0833,0.3168,0.1271,0.1218,0.0833,0.0,0.0064,0.0,0.1522,0.0753
VII,0.0,0.1667,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
