meanTransistionProbabilitiestableFor-output9cluster7of9.csv,I,bII,II,bIII,III,IV,bV,V,bVI,VI,bVII,VII
I,0.3356,0.0719,0.0192,0.2466,0.1516,0.1287,0.005,0.002,0.0073,0.0,0.0021,0.025
bII,0.5595,0.1429,0.0,0.1548,0.119,0.0,0.0,0.0,0.0238,0.0,0.0,0.0
II,0.0265,0.092,0.0098,0.0265,0.8207,0.0043,0.0021,0.0031,0.0024,0.0039,0.0044,0.0039
bIII,0.1,0.2167,0.0714,0.1172,0.1167,0.0,0.0,0.0238,0.1643,0.0,0.0333,0.1566
III,0.0445,0.124,0.1025,0.3948,0.1263,0.1433,0.0,0.0298,0.019,0.0143,0.0,0.0014
IV,0.3404,0.0834,0.025,0.1965,0.2516,0.0157,0.0,0.0,0.0152,0.023,0.006,0.0286
bV,0.3431,0.0588,0.0294,0.0588,0.3627,0.0,0.0294,0.0,0.0588,0.0294,0.0294,0.0
V,0.5712,0.0777,0.0055,0.1116,0.1537,0.0506,0.0022,0.0006,0.0007,0.0,0.0072,0.0047
bVI,0.25,0.0,0.0,0.0988,0.3083,0.0714,0.0,0.0,0.0833,0.0,0.0214,0.1667
VI,0.0686,0.4651,0.0938,0.1254,0.127,0.0915,0.0083,0.0,0.0019,0.0,0.0,0.0184
bVII,0.2558,0.0303,0.0,0.0835,0.1057,0.2053,0.053,0.0333,0.1217,0.0,0.0202,0.0902
VII,0.3889,0.0694,0.2222,0.0,0.0,0.0278,0.0833,0.0,0.0,0.0417,0.0,0.1667
