meanTransistionProbabilitiestableFor-output9cluster1of9.csv,I,bII,II,bIII,III,IV,bV,V,bVI,VI,bVII,VII
I,0.2307,0.086,0.0574,0.3036,0.1104,0.1115,0.0289,0.0034,0.0174,0.0198,0.0021,0.0265
bII,0.1875,0.375,0.0,0.0,0.125,0.0,0.0,0.0625,0.125,0.125,0.0,0.0
II,0.1364,0.1363,0.0841,0.0312,0.5438,0.0348,0.015,0.0055,0.0012,0.0,0.0043,0.002
bIII,0.0296,0.2889,0.0133,0.1016,0.2,0.0,0.0,0.0148,0.1141,0.0029,0.157,0.0778
III,0.0132,0.0601,0.0404,0.0547,0.0102,0.802,0.0,0.0,0.0068,0.0032,0.0,0.0074
IV,0.332,0.0929,0.1618,0.1585,0.1633,0.0122,0.0014,0.0,0.0054,0.0075,0.006,0.0575
bV,0.0577,0.0513,0.0,0.3595,0.2021,0.0,0.2726,0.0,0.0,0.0268,0.0301,0.0
V,0.5502,0.0304,0.0711,0.0638,0.1938,0.0481,0.003,0.0,0.0051,0.0063,0.0091,0.0088
bVI,0.4716,0.0556,0.0,0.0556,0.125,0.0556,0.0,0.0093,0.0278,0.0179,0.1085,0.0734
VI,0.1254,0.4119,0.0461,0.18,0.0793,0.1235,0.017,0.0074,0.0,0.0014,0.0038,0.0014
bVII,0.2139,0.0733,0.0417,0.1131,0.0629,0.25,0.016,0.0,0.0879,0.0,0.0162,0.1058
VII,0.0,0.0694,0.6492,0.0037,0.0166,0.0481,0.0926,0.0,0.0556,0.0,0.0,0.0648
