ConfidenceIntervalTransitionalProbabilitiestableFor-output7cluster1of7.csv,I,bII,II,bIII,III,IV,bV,V,bVI,VI,bVII,VII
I,0.3314-0.4388,0.0124-0.0475,-0.0006-0.0058,0.0814-0.157,0.0405-0.116,-0.0001-0.0391,-0.0005-0.0015,-0.0025-0.0245,0.0281-0.0741,-0.0008-0.0023,0.0795-0.169,0.1162-0.2269
bII,0.0591-0.5562,-0.0026-0.0072,-0.0414-0.1129,-0.0829-0.2257,0.0-0.0,0.0-0.0,0.0-0.0,-0.0032-0.294,-0.009-0.4385,-0.0829-0.2257,-0.0241-0.0655,-0.0605-0.2504
II,0.0999-0.2964,0.0706-0.2585,0.0-0.0,0.004-0.204,0.1084-0.421,-0.0292-0.1551,0.0-0.0,0.0-0.0,0.0039-0.2279,0.0-0.0,-0.0121-0.0716,-0.027-0.147
bIII,0.0264-0.1206,-0.0142-0.0824,-0.0014-0.0041,0.1399-0.3291,0.0064-0.1216,-0.0022-0.0064,0.0-0.0,-0.0042-0.044,0.0379-0.1337,0.0-0.0,0.0564-0.198,0.2373-0.4689
III,-0.0334-0.0889,0.0267-0.5213,0.0598-0.3746,-0.0198-0.3888,-0.0167-0.0445,0.0057-0.1985,-0.025-0.0667,-0.0808-0.2891,-0.05-0.1334,0.0-0.0,0.0-0.0,0.0-0.0
IV,0.1848-0.3318,0.0037-0.06,0.0004-0.0432,0.1396-0.2486,0.0913-0.2172,-0.0004-0.0012,0.0-0.0,0.0003-0.0217,0.0495-0.1495,-0.0023-0.007,0.0662-0.1901,0.0438-0.1409
bV,-0.3553-0.7553,0.0-0.0,0.0-0.0,-0.0801-1.2801,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0,-0.3553-0.7553,0.0-0.0,0.0-0.0,0.0-0.0
V,0.3239-0.5148,-0.0048-0.0224,-0.0053-0.0244,0.1139-0.2923,0.0952-0.2146,-0.0012-0.023,0.0-0.0,0.0-0.0,-0.004-0.0176,0.0-0.0,0.0575-0.2005,0.0098-0.0586
bVI,0.0327-0.1169,-0.0015-0.0044,0.0-0.0,0.0237-0.14,0.048-0.1604,-0.0122-0.0532,-0.0018-0.0054,-0.0055-0.0317,0.0196-0.1047,-0.0029-0.0088,0.0264-0.0926,0.4797-0.6756
VI,-0.0161-0.2025,-0.0027-0.2254,-0.0224-0.1176,0.0525-0.4475,-0.0331-0.1652,-0.0106-0.2238,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0,-0.0028-0.1531,0.0368-0.4632
bVII,0.6174-0.7406,-0.0017-0.005,0.0-0.0,0.0426-0.1046,-0.0005-0.0502,-0.0014-0.0093,-0.0033-0.0125,-0.0-0.0085,0.0151-0.0731,-0.0004-0.0011,0.043-0.1122,0.0475-0.1076
VII,-0.4187-1.4187,0.0-0.0,0.0-0.0,-0.2728-0.5228,0.0-0.0,0.0-0.0,-0.2093-0.7093,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0
