meanTransistionProbabilitiestableFor-output11cluster7of11.csv,I,bII,II,bIII,III,IV,bV,V,bVI,VI,bVII,VII
I,0.2557,0.0766,0.0606,0.2788,0.1057,0.1304,0.0345,0.0037,0.0147,0.0136,0.0023,0.0209
bII,0.1875,0.375,0.0,0.0,0.125,0.0,0.0,0.0625,0.125,0.125,0.0,0.0
II,0.1628,0.1381,0.0713,0.0341,0.5188,0.0369,0.0159,0.0029,0.0013,0.0047,0.0049,0.0022
bIII,0.047,0.3141,0.0154,0.0659,0.2308,0.0,0.0,0.0171,0.1317,0.0033,0.1234,0.0513
III,0.0195,0.0356,0.0453,0.0374,0.0112,0.8304,0.0,0.0,0.0182,0.0,0.0,0.0
IV,0.3568,0.0884,0.1115,0.1795,0.176,0.0146,0.0,0.0,0.006,0.0083,0.0043,0.0531
bV,0.0682,0.0606,0.0,0.2431,0.3297,0.0,0.2312,0.0,0.0,0.0316,0.0356,0.0
V,0.5216,0.0367,0.0667,0.0714,0.2106,0.0518,0.0037,0.0009,0.0027,0.0064,0.0085,0.0099
bVI,0.4634,0.0714,0.0,0.0714,0.0893,0.0,0.0,0.0119,0.0357,0.023,0.1395,0.0944
VI,0.1448,0.2926,0.0464,0.2203,0.1047,0.1544,0.0186,0.0081,0.0,0.0015,0.0041,0.0015
bVII,0.2418,0.0176,0.0906,0.1279,0.0711,0.2391,0.0181,0.0,0.0559,0.0,0.0183,0.0978
VII,0.0588,0.0147,0.6521,0.0,0.0176,0.0509,0.0784,0.0,0.0588,0.0,0.0,0.0686
