meanTransistionProbabilitiestableFor-output9cluster3of9.csv,I,bII,II,bIII,III,IV,bV,V,bVI,VI,bVII,VII
I,0.2444,0.0686,0.0357,0.3904,0.1722,0.0345,0.001,0.0008,0.026,0.0,0.0052,0.014
bII,0.3333,0.0,0.0,0.0889,0.0,0.0,0.0,0.0556,0.0,0.1578,0.1422,0.2222
II,0.3185,0.0875,0.0537,0.3298,0.0667,0.0453,0.0,0.0167,0.0216,0.0104,0.0,0.0498
bIII,0.1766,0.15,0.0042,0.0667,0.0792,0.0,0.0,0.0295,0.1082,0.0607,0.2881,0.0286
III,0.0348,0.1917,0.0953,0.4757,0.0701,0.0692,0.0313,0.0,0.0313,0.0,0.0,0.0
IV,0.6743,0.0313,0.0283,0.0862,0.1168,0.0189,0.0,0.0,0.0045,0.0,0.0081,0.0275
bV,0.0,0.0,0.0,0.125,0.125,0.0,0.0,0.475,0.0,0.0,0.15,0.125
V,0.491,0.0454,0.0088,0.1465,0.1912,0.0782,0.0006,0.0,0.0014,0.0018,0.0099,0.0097
bVI,0.1661,0.0,0.0024,0.1342,0.1897,0.0,0.0,0.136,0.0836,0.0277,0.0888,0.1683
VI,0.1837,0.1003,0.1398,0.175,0.2255,0.0864,0.0,0.0217,0.0,0.0,0.0073,0.059
bVII,0.2236,0.0219,0.0313,0.0903,0.3331,0.1218,0.0469,0.0,0.0113,0.0,0.0253,0.0829
VII,0.0774,0.0,0.0714,0.0,0.0,0.0714,0.125,0.0,0.0833,0.25,0.0,0.3214
