meanTransistionProbabilitiestableFor-output7cluster7of7.csv,I,bII,II,bIII,III,IV,bV,V,bVI,VI,bVII,VII
I,0.3274,0.0703,0.0208,0.24,0.1567,0.1249,0.0055,0.0025,0.0079,0.0051,0.0041,0.0298
bII,0.4896,0.25,0.0,0.1354,0.1042,0.0,0.0,0.0,0.0208,0.0,0.0,0.0
II,0.024,0.072,0.0036,0.0324,0.8419,0.0069,0.002,0.003,0.0023,0.0033,0.0042,0.0038
bIII,0.0824,0.1784,0.0588,0.273,0.0961,0.0,0.0,0.0196,0.1353,0.0,0.0275,0.129
III,0.0421,0.1474,0.1172,0.336,0.1195,0.1362,0.027,0.0282,0.018,0.0135,0.0,0.0148
IV,0.3499,0.0806,0.0347,0.1876,0.2432,0.0062,0.0,0.0,0.0236,0.0223,0.0058,0.0315
bV,0.307,0.0526,0.0263,0.1053,0.3772,0.0,0.0263,0.0,0.0526,0.0263,0.0263,0.0
V,0.5873,0.0837,0.0055,0.1097,0.14,0.042,0.0021,0.0006,0.0007,0.0015,0.0069,0.0057
bVI,0.2083,0.0,0.0,0.0907,0.3509,0.0556,0.0,0.0,0.1204,0.0,0.0444,0.1296
VI,0.064,0.5252,0.0878,0.1374,0.0587,0.0966,0.0068,0.0,0.0019,0.0,0.0011,0.0205
bVII,0.201,0.0238,0.0,0.1817,0.0831,0.2149,0.0238,0.0262,0.0956,0.0,0.0516,0.0977
VII,0.4372,0.0,0.2078,0.0,0.0,0.0563,0.0455,0.0,0.0,0.0455,0.0,0.2078
