ConfidenceIntervalTransitionalProbabilitiestableFor-output6cluster2of6.csv,I,bII,II,bIII,III,IV,bV,V,bVI,VI,bVII,VII
I,0.255-0.3288,0.06-0.1057,0.0251-0.0535,0.22-0.2999,0.1046-0.1656,0.0893-0.151,0.0019-0.0297,0.0006-0.0054,0.0042-0.0222,-0.0003-0.0174,0.0011-0.0062,0.0079-0.0374
bII,0.0878-0.5495,0.0997-0.6062,0.0-0.0,-0.0608-0.1882,-0.0435-0.1687,0.0-0.0,-0.0253-0.0706,-0.0242-0.1283,-0.0174-0.1546,-0.0266-0.1442,0.0-0.0,0.0-0.0
II,0.0364-0.0828,0.071-0.1245,0.0169-0.0541,0.0202-0.0508,0.6834-0.7721,0.0071-0.0263,-0.002-0.0169,0.0006-0.0085,-0.0005-0.0043,-0.0011-0.0058,0.0002-0.0103,-0.0017-0.0085
bIII,0.0073-0.1045,0.094-0.3525,-0.0262-0.0989,0.0744-0.3295,0.0398-0.2941,0.0-0.0,0.0-0.0,-0.0075-0.0412,0.0363-0.1765,-0.0014-0.004,0.0151-0.1634,0.0049-0.1987
III,0.0076-0.046,0.046-0.137,0.0419-0.1081,0.11-0.2224,0.0196-0.0898,0.4567-0.6143,-0.007-0.0367,-0.0093-0.03,-0.0029-0.0253,-0.0036-0.0178,0.0-0.0,-0.0044-0.0153
IV,0.2832-0.3762,0.0592-0.1209,0.0514-0.1236,0.1394-0.2025,0.1758-0.2581,0.0036-0.02,-0.0006-0.0019,0.0-0.0,0.0013-0.0337,0.0068-0.0255,0.0018-0.0109,0.0205-0.0647
bV,0.042-0.3182,-0.0242-0.1317,-0.0168-0.0491,0.0679-0.3627,0.1504-0.4814,0.0-0.0,0.0149-0.2459,0.0-0.0,-0.0336-0.0981,-0.0121-0.0668,-0.0124-0.0699,0.0-0.0
V,0.5173-0.6003,0.0406-0.087,0.0199-0.0489,0.0668-0.1156,0.1384-0.1924,0.0319-0.0633,0.0002-0.005,-0.0003-0.0011,0.0002-0.0063,0.0003-0.0071,0.0005-0.0175,0.0014-0.0115
bVI,0.1848-0.4685,-0.0263-0.0775,0.0-0.0,-0.001-0.1361,0.0882-0.3511,-0.0106-0.1644,0.0-0.0,-0.0225-0.0823,0.0078-0.1546,-0.0084-0.0249,0.0136-0.1275,0.0054-0.182
VI,0.046-0.12,0.4361-0.5655,0.03-0.0909,0.1142-0.2017,0.0346-0.0899,0.0784-0.1419,-0.0001-0.0254,-0.0039-0.0117,-0.001-0.0029,-0.0007-0.0022,-0.0008-0.006,0.0-0.0071
bVII,0.0923-0.2653,-0.0012-0.1107,-0.0118-0.0579,0.0424-0.165,0.0169-0.1375,0.1254-0.3541,-0.0061-0.0948,-0.0158-0.047,0.0439-0.1815,0.0-0.0,-0.0097-0.0891,0.0311-0.1679
VII,0.026-0.2843,-0.0189-0.1211,0.3099-0.6259,-0.0022-0.0065,-0.007-0.0263,0.0003-0.0955,0.0139-0.1474,-0.0269-0.0785,-0.0336-0.0981,-0.0168-0.0491,0.0-0.0,0.0008-0.2219
