meanTransistionProbabilitiestableFor-output8cluster3of8.csv,I,bII,II,bIII,III,IV,bV,V,bVI,VI,bVII,VII
I,0.313,0.0701,0.0218,0.2539,0.1593,0.1267,0.0043,0.0027,0.0082,0.0054,0.0028,0.0265
bII,0.5476,0.2857,0.0,0.1429,0.0,0.0,0.0,0.0,0.0238,0.0,0.0,0.0
II,0.0199,0.0669,0.0152,0.0274,0.844,0.0073,0.0027,0.0014,0.0025,0.0035,0.0045,0.0041
bIII,0.0875,0.1896,0.0625,0.2588,0.1021,0.0,0.0,0.0208,0.1125,0.0,0.0292,0.137
III,0.0302,0.1451,0.0763,0.4072,0.1121,0.1584,0.0,0.0298,0.019,0.0062,0.0,0.0156
IV,0.336,0.0835,0.0474,0.1805,0.2453,0.0066,0.001,0.0,0.0253,0.0238,0.0067,0.0288
bV,0.307,0.0526,0.0263,0.1053,0.3772,0.0,0.0526,0.0,0.0526,0.0263,0.0,0.0
V,0.6062,0.0806,0.0055,0.0978,0.1393,0.0402,0.0022,0.0006,0.0007,0.0013,0.0074,0.0034
bVI,0.1875,0.0,0.0,0.0708,0.3167,0.125,0.0,0.0,0.1354,0.0,0.0187,0.1458
VI,0.0601,0.5293,0.0978,0.1351,0.083,0.0819,0.0073,0.0,0.002,0.0,0.0,0.0034
bVII,0.2372,0.0758,0.0,0.0643,0.1057,0.2508,0.0076,0.0,0.1217,0.0,0.0657,0.0705
VII,0.4667,0.0,0.21,0.0067,0.0,0.0333,0.0833,0.0,0.0,0.0,0.0,0.2
