ConfidenceIntervalTransitionalProbabilitiestableFor-output9cluster2of9.csv,I,bII,II,bIII,III,IV,bV,V,bVI,VI,bVII,VII
I,0.267-0.3928,0.0187-0.0883,0.0064-0.0294,0.1892-0.3313,0.0759-0.1805,0.0068-0.0832,0.0-0.0,-0.0004-0.0015,-0.0041-0.0206,-0.0009-0.0027,-0.0007-0.0077,0.0834-0.2064
bII,-0.2618-0.5951,-0.1309-0.2975,-0.0436-0.0992,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0,-0.063-0.4519,0.0-0.0,-0.0486-0.6375,-0.1951-0.6618,0.0-0.0
II,0.0486-0.2239,0.0587-0.1967,-0.0087-0.1433,0.0914-0.3185,0.2722-0.5172,-0.014-0.0931,-0.0036-0.0106,0.0-0.0,-0.0016-0.0084,0.0-0.0,0.0-0.0,0.0006-0.0447
bIII,0.0582-0.4499,-0.0263-0.3102,0.0-0.0,-0.0009-0.1212,-0.0291-0.2116,0.0-0.0,-0.0617-0.1728,0.0-0.0,0.0144-0.2006,0.0-0.0,-0.0132-0.2519,0.0006-0.3395
III,-0.0058-0.0167,0.0684-0.3847,0.0387-0.2332,0.0372-0.3571,0.0091-0.2596,0.041-0.2503,-0.0241-0.198,0.0-0.0,-0.0337-0.1642,0.0-0.0,0.0-0.0,0.0-0.0
IV,0.4378-0.5862,0.0124-0.0468,0.0026-0.0603,0.0893-0.1729,0.1151-0.2336,0.0011-0.0566,-0.0018-0.0055,-0.0006-0.0018,-0.0009-0.0346,0.0-0.0,-0.0005-0.014,0.0275-0.0978
bV,0.0-0.0,0.0-0.0,-0.2802-0.6881,-0.3553-0.7553,0.0-0.0,-0.3553-0.7553,-0.2221-0.4721,-0.148-0.3901,-0.0888-0.1888,-0.0888-0.1888,-0.0888-0.1888,0.0-0.0
V,0.2457-0.3991,0.0069-0.0592,0.003-0.043,0.1178-0.25,0.2048-0.3352,0.0239-0.0796,0.0-0.0,-0.0012-0.0035,-0.0028-0.0512,-0.0021-0.0063,-0.0035-0.0372,0.0263-0.0993
bVI,-0.0162-0.2734,-0.0707-0.1957,0.0-0.0,-0.0054-0.0151,-0.033-0.2622,-0.0193-0.0705,-0.0054-0.0151,-0.0393-0.1715,-0.0273-0.4023,-0.0613-0.2055,0.0241-0.2788,-0.0046-0.3684
VI,0.0216-0.171,0.0922-0.3451,0.0078-0.1455,0.0785-0.2991,0.0542-0.2544,0.0384-0.1573,-0.0003-0.0008,0.0-0.0,0.0-0.0,0.0-0.0,-0.0304-0.0893,0.0246-0.2509
bVII,0.0112-0.0616,-0.0014-0.008,0.0-0.0,0.8749-0.9489,0.0026-0.0346,-0.0016-0.0172,-0.001-0.0082,0.0-0.0,-0.0021-0.0116,0.0-0.0,0.0-0.0,0.0018-0.0256
VII,0.0878-0.8011,0.0-0.0,-0.0783-0.3561,-0.0726-0.1837,0.0-0.0,-0.0373-0.1196,-0.0256-0.3023,0.0-0.0,-0.0446-0.113,-0.1451-0.3673,-0.0112-0.0283,0.0-0.0
