meanTransistionProbabilitiestableFor-output11cluster11of11.csv,I,bII,II,bIII,III,IV,bV,V,bVI,VI,bVII,VII
I,0.3421,0.0519,0.0261,0.2207,0.1333,0.0401,0.0,0.0005,0.0026,0.001,0.0026,0.1682
bII,0.2,0.0,0.0333,0.16,0.0,0.0,0.0,0.0733,0.0,0.2533,0.28,0.0
II,0.1751,0.1459,0.0794,0.3057,0.2073,0.0501,0.0048,0.0,0.0043,0.0,0.0,0.0275
bIII,0.2214,0.1704,0.0,0.1122,0.0929,0.0,0.0667,0.0,0.0619,0.0476,0.1063,0.1206
III,0.0069,0.345,0.1413,0.0112,0.1602,0.1315,0.1111,0.0,0.0833,0.0,0.0,0.006
IV,0.5783,0.0221,0.0355,0.1168,0.1126,0.0294,0.0,0.0,0.0192,0.0,0.007,0.0754
bV,0.0,0.0,0.2039,0.2,0.0,0.0,0.125,0.3211,0.05,0.05,0.05,0.0
V,0.2083,0.0578,0.0372,0.1946,0.2857,0.0553,0.0,0.0014,0.0258,0.0025,0.0416,0.0797
bVI,0.1305,0.0,0.0,0.0055,0.131,0.1007,0.0,0.0755,0.1429,0.0824,0.1291,0.2024
VI,0.0706,0.1786,0.0835,0.1737,0.1752,0.0656,0.0003,0.0,0.0,0.0,0.037,0.2154
bVII,0.0479,0.0138,0.0,0.8538,0.0239,0.0299,0.0041,0.0,0.0049,0.0,0.0,0.0217
VII,0.5,0.0,0.0625,0.0625,0.0,0.0463,0.1556,0.0,0.0385,0.125,0.0096,0.0
