ConfidenceIntervalTransitionalProbabilitiestableFor-output6cluster5of6.csv,I,bII,II,bIII,III,IV,bV,V,bVI,VI,bVII,VII
I,0.326-0.4323,0.015-0.053,-0.0006-0.0058,0.0894-0.1673,0.0512-0.1322,-0.0001-0.0391,-0.0005-0.0015,-0.0021-0.0249,0.0254-0.0703,-0.0008-0.0023,0.0739-0.1625,0.1061-0.2126
bII,0.0532-0.521,-0.0024-0.0067,-0.0382-0.1048,-0.0763-0.2097,0.0-0.0,0.0-0.0,0.0-0.0,-0.0032-0.2746,-0.0086-0.4095,-0.0549-0.2594,-0.0256-0.1265,-0.0557-0.233
II,0.1026-0.2872,0.0708-0.2416,0.0-0.0,0.0034-0.1831,0.1258-0.4264,-0.0259-0.1388,0.0-0.0,0.0-0.0,0.0033-0.2045,0.0-0.0,-0.0108-0.064,-0.0096-0.1948
bIII,0.0201-0.1154,-0.0145-0.084,-0.0014-0.0042,0.1528-0.3451,0.0011-0.1168,-0.0022-0.0066,0.0-0.0,-0.0009-0.0611,0.0372-0.135,0.0-0.0,0.0441-0.1791,0.2386-0.4745
III,-0.0302-0.0815,0.0231-0.4828,0.0526-0.3483,-0.0183-0.3589,-0.0151-0.0408,-0.0031-0.3454,-0.0227-0.0611,-0.0732-0.2655,-0.0453-0.1223,0.0-0.0,0.0-0.0,0.0-0.0
IV,0.2071-0.3651,0.0042-0.0597,0.0011-0.0698,0.1187-0.2181,0.0864-0.2104,-0.0004-0.0012,0.0-0.0,0.0003-0.0214,0.0487-0.1474,-0.0023-0.0069,0.0652-0.1875,0.0379-0.1336
bV,-0.2618-0.5951,0.0-0.0,0.0-0.0,-0.0748-1.0748,0.0-0.0,0.0-0.0,0.0-0.0,-0.2618-0.5951,-0.2618-0.5951,0.0-0.0,0.0-0.0,0.0-0.0
V,0.329-0.5186,-0.0032-0.0238,-0.0051-0.0236,0.1159-0.2859,0.094-0.212,-0.0012-0.0223,0.0-0.0,0.0-0.0,-0.0016-0.0048,-0.0018-0.0053,0.0555-0.1944,0.0109-0.0785
bVI,0.0224-0.093,-0.0015-0.0045,0.0-0.0,0.0267-0.1466,0.047-0.1625,-0.0126-0.055,-0.0019-0.0056,-0.0031-0.0384,0.0224-0.1102,-0.0037-0.0202,0.0244-0.0868,0.4776-0.6795
VI,-0.0152-0.1918,-0.0001-0.2153,-0.021-0.1112,0.0845-0.4818,-0.0311-0.1562,-0.01-0.2121,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0,-0.0027-0.1451,0.0341-0.4396
bVII,0.6566-0.7736,-0.0017-0.005,0.0-0.0,0.0386-0.098,-0.0028-0.0469,-0.0014-0.0093,-0.0033-0.0125,-0.0-0.0085,0.0118-0.0461,-0.0004-0.0011,0.0384-0.0956,0.0475-0.1076
VII,-0.4187-1.4187,0.0-0.0,0.0-0.0,-0.2728-0.5228,0.0-0.0,0.0-0.0,-0.2093-0.7093,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0
