ConfidenceIntervalTransitionalProbabilitiestableFor-output9cluster8of9.csv,I,bII,II,bIII,III,IV,bV,V,bVI,VI,bVII,VII
I,0.2334-0.3515,0.0395-0.1364,0.0054-0.0688,0.1676-0.2765,0.0909-0.2129,0.1101-0.2344,-0.002-0.008,0.0-0.0,-0.0009-0.0028,0.0-0.0,0.0018-0.0383,-0.0022-0.0251
bII,-0.5385-1.3776,-0.1573-0.2525,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0,-0.2296-0.4891,-0.4718-0.7575,-0.1139-0.1829,0.0-0.0,-0.4255-0.854
II,0.0777-0.2821,0.0119-0.1178,0.0237-0.1989,0.1787-0.4164,0.1149-0.2905,0.0134-0.1168,-0.0202-0.0597,0.0-0.0,0.0-0.0,-0.0131-0.0388,-0.0011-0.0032,-0.0151-0.105
bIII,-0.0125-0.0333,-0.0522-0.4411,-0.04-0.1067,0.0-0.0,-0.0361-0.1327,-0.1001-0.2667,0.0-0.0,-0.1001-0.2667,0.0021-0.4214,-0.04-0.1067,0.0003-0.5199,-0.025-0.0667
III,-0.0042-0.0435,0.1213-0.3988,0.0259-0.1677,0.103-0.3552,-0.0178-0.1281,0.1361-0.3745,0.0-0.0,-0.0078-0.0411,-0.0297-0.0979,-0.0162-0.0475,0.0-0.0,-0.0162-0.0475
IV,0.033-0.078,0.0079-0.0413,0.0066-0.0382,0.0265-0.0758,0.7759-0.8699,0.0005-0.014,0.0-0.0,0.0-0.0,-0.0013-0.0038,0.0-0.0,-0.0009-0.0055,-0.0039-0.0281
bV,0.0-0.0,0.0-0.0,-1.1009-1.7676,0.0-0.0,-0.5504-0.8838,0.0-0.0,-0.5504-0.8838,-1.1009-1.7676,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0
V,0.5497-0.6767,-0.0007-0.0346,0.0022-0.0375,0.0957-0.1812,0.0847-0.1594,0.0374-0.0891,0.0-0.0,-0.0036-0.014,-0.0012-0.0075,0.0-0.0,0.003-0.0244,0.0-0.0
bVI,0.02-0.4217,0.0-0.0,0.0-0.0,-0.0379-0.1288,0.1219-0.5471,-0.0531-0.2884,0.0-0.0,-0.0659-0.1835,0.0-0.0,0.0-0.0,-0.0483-0.2185,-0.0174-0.2926
VI,0.0439-0.1454,0.0388-0.1378,0.0144-0.0799,0.33-0.5321,0.0833-0.2382,0.0969-0.2109,-0.0088-0.0263,0.0-0.0,-0.0027-0.0081,-0.0014-0.0042,-0.0088-0.0263,0.0-0.0
bVII,0.0549-0.4788,-0.0453-0.1223,0.0-0.0,0.0-0.0,-0.0004-0.3512,-0.0363-0.0978,-0.0907-0.2445,0.0-0.0,-0.0038-0.4653,0.0-0.0,-0.0338-0.2415,-0.0126-0.1664
VII,-0.3171-0.7671,0.0-0.0,-0.0463-0.0985,-0.2644-1.0122,-0.2877-0.7877,0.0-0.0,-0.1332-0.2832,0.0-0.0,-0.0888-0.1888,0.0-0.0,0.0-0.0,0.0-0.0
