meanTransistionProbabilitiestableFor-output12cluster9of12.csv,I,bII,II,bIII,III,IV,bV,V,bVI,VI,bVII,VII
I,0.286,0.0892,0.0369,0.2281,0.1252,0.1906,0.0034,0.0,0.0014,0.0,0.02,0.0178
bII,0.4397,0.0357,0.0,0.0,0.0,0.0,0.0,0.2223,0.1071,0.0259,0.0,0.1607
II,0.1693,0.1089,0.1128,0.2591,0.2052,0.0416,0.0208,0.0135,0.0,0.0135,0.0011,0.0542
bIII,0.0104,0.2153,0.0333,0.0417,0.0483,0.0833,0.0,0.0833,0.2326,0.0333,0.1768,0.0208
III,0.0418,0.2657,0.1147,0.138,0.1047,0.2355,0.0,0.0198,0.0404,0.0185,0.0,0.0185
IV,0.0576,0.0225,0.0255,0.0594,0.8175,0.0057,0.0,0.0,0.0014,0.0,0.0012,0.0091
bV,0.0,0.0,0.3333,0.0,0.1667,0.0,0.1667,0.3333,0.0,0.0,0.0,0.0
V,0.6432,0.0104,0.0185,0.1326,0.1054,0.0585,0.0,0.0058,0.0035,0.0,0.0155,0.0025
bVI,0.2013,0.0,0.0,0.0357,0.3933,0.1176,0.0,0.0588,0.0294,0.0,0.0851,0.0788
VI,0.0987,0.0887,0.0329,0.509,0.0591,0.1791,0.0102,0.0,0.0031,0.0016,0.0146,0.0026
bVII,0.2813,0.0333,0.0,0.0667,0.1021,0.0933,0.075,0.0,0.1667,0.0,0.0567,0.125
VII,0.3542,0.0,0.0217,0.3116,0.2083,0.0,0.0625,0.0,0.0417,0.0,0.0,0.0
