ConfidenceIntervalTransitionalProbabilitiestableFor-output9cluster4of9.csv,I,bII,II,bIII,III,IV,bV,V,bVI,VI,bVII,VII
I,0.2428-0.4202,0.0092-0.0669,-0.0113-0.0332,0.0923-0.2175,0.0521-0.2254,-0.0047-0.0866,-0.0058-0.0172,-0.002-0.0269,0.0572-0.2091,-0.0018-0.0052,0.0036-0.0505,0.0337-0.1508
bII,0.2388-0.907,-0.1451-0.3673,0.0-0.0,0.0-0.0,-0.0484-0.1224,0.0-0.0,0.0-0.0,-0.0532-0.2145,-0.0234-0.0592,0.0-0.0,-0.0367-0.1753,-0.1451-0.3673
II,0.0013-0.4397,-0.0387-0.1977,0.0-0.0,-0.0254-0.2378,0.1177-0.6389,-0.0795-0.2337,0.0-0.0,-0.05-0.1334,-0.0683-0.2361,0.0-0.0,0.0-0.0,-0.0154-0.041
bIII,0.0028-0.0522,-0.0066-0.0194,-0.0053-0.0155,0.8353-0.9603,-0.0059-0.04,0.0-0.0,0.0-0.0,-0.008-0.0317,-0.0014-0.0347,0.0-0.0,0.0-0.0,-0.0137-0.049
III,-0.5311-1.1422,0.0-0.0,-0.1908-0.4315,-0.7342-1.6416,0.0-0.0,-0.2752-0.4419,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0,-0.1223-0.1964,0.0-0.0
IV,0.2334-0.4412,-0.0021-0.0303,-0.003-0.0089,0.0857-0.1768,0.147-0.3245,-0.0032-0.0179,0.0-0.0,-0.0038-0.0111,0.0431-0.1974,-0.0025-0.0095,0.009-0.1299,0.0128-0.1338
bV,0.0-0.0,0.0-0.0,0.0-0.0,-0.0801-1.2801,-0.2801-1.0801,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0
V,0.4079-0.6132,0.0123-0.1239,0.0-0.0,0.0397-0.1447,0.0821-0.2238,-0.0072-0.0318,-0.0009-0.0026,0.0-0.0,-0.0027-0.16,-0.0046-0.0221,-0.0205-0.113,-0.0031-0.0324
bVI,0.0338-0.3084,0.0-0.0,0.0-0.0,0.0005-0.2478,0.1134-0.5476,-0.0565-0.1777,-0.0154-0.0432,-0.0226-0.1231,-0.0027-0.2891,0.0-0.0,-0.0195-0.1202,0.0043-0.1075
VI,-0.0841-0.2175,-0.0454-0.2121,-0.0435-0.1722,0.1226-0.6917,-0.0956-0.3683,-0.0502-0.1602,-0.0421-0.1087,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0,-0.0909-0.3986
bVII,0.1176-0.434,-0.0233-0.0668,0.0-0.0,0.0806-0.3634,-0.0085-0.168,-0.0029-0.0084,-0.0042-0.0217,0.0-0.0,-0.0064-0.2017,0.0-0.0,0.0431-0.2627,0.0354-0.2244
VII,-0.0944-1.161,-0.0123-0.026,0.0-0.0,0.0-0.0,-0.1776-0.3776,0.0-0.0,-0.343-0.7292,0.0-0.0,-0.126-0.4593,0.0-0.0,0.0-0.0,0.0-0.0
