meanTransistionProbabilitiestableFor-output8cluster6of8.csv,I,bII,II,bIII,III,IV,bV,V,bVI,VI,bVII,VII
I,0.2567,0.0866,0.0378,0.2489,0.1695,0.1527,0.0051,0.0,0.007,0.0,0.0204,0.0142
bII,0.4397,0.0357,0.0,0.0,0.0,0.0,0.0,0.2223,0.1071,0.0259,0.0,0.1607
II,0.1781,0.0978,0.0985,0.276,0.2094,0.0669,0.0157,0.0102,0.0006,0.0102,0.0009,0.0358
bIII,0.0063,0.1292,0.02,0.3717,0.029,0.05,0.0,0.05,0.1429,0.02,0.1561,0.0125
III,0.0389,0.2631,0.0936,0.2494,0.0787,0.2037,0.0,0.0144,0.0295,0.0135,0.0,0.0135
IV,0.0745,0.0255,0.0407,0.0569,0.7632,0.0149,0.0,0.0,0.0031,0.0,0.0096,0.0111
bV,0.0,0.0,0.3333,0.0,0.1667,0.0,0.1667,0.3333,0.0,0.0,0.0,0.0
V,0.5805,0.0256,0.0168,0.1546,0.1266,0.0605,0.0,0.0043,0.012,0.0,0.0113,0.0005
bVI,0.2377,0.0,0.0,0.0637,0.3343,0.1,0.0,0.05,0.025,0.0,0.0723,0.117
VI,0.0861,0.0865,0.0586,0.3987,0.1993,0.1499,0.0076,0.0,0.0023,0.0012,0.0076,0.0
bVII,0.2344,0.0556,0.0556,0.0,0.1545,0.0222,0.0625,0.0,0.1944,0.0,0.0889,0.1319
VII,0.3988,0.0,0.0186,0.2671,0.1786,0.0,0.0536,0.0,0.0833,0.0,0.0,0.0
