ConfidenceIntervalTransitionalProbabilitiestableFor-output6cluster1of6.csv,I,bII,II,bIII,III,IV,bV,V,bVI,VI,bVII,VII
I,0.2204-0.3298,0.0374-0.124,0.0048-0.0611,0.1829-0.2884,0.1089-0.2341,0.1072-0.2213,-0.0016-0.0125,0.0-0.0,-0.0006-0.0028,0.0-0.0,0.0016-0.034,0.0005-0.029
bII,-0.0655-0.9448,-0.0779-0.1494,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0,-0.1272-0.5717,-0.2338-0.4481,-0.0564-0.1082,0.0-0.0,-0.2148-0.5362
II,0.0806-0.2632,0.0333-0.1478,0.0206-0.1767,0.164-0.3791,0.1406-0.3153,0.0117-0.1037,-0.0178-0.0527,-0.0116-0.0343,-0.0007-0.0021,-0.0116-0.0343,-0.001-0.0029,-0.0133-0.093
bIII,-0.0077-0.0216,-0.0184-0.3055,-0.0247-0.0691,0.0777-0.5334,-0.0222-0.0866,-0.0617-0.1728,0.0-0.0,-0.0617-0.1728,0.0141-0.296,-0.0247-0.0691,-0.0018-0.3486,-0.0154-0.0432
III,-0.004-0.0409,0.1128-0.3767,0.0241-0.1581,0.1172-0.3729,-0.0167-0.1205,0.1482-0.3912,0.0-0.0,-0.0073-0.0386,-0.0278-0.092,-0.0152-0.0446,0.0-0.0,-0.0152-0.0446
IV,0.0425-0.0906,0.0088-0.0398,0.0058-0.0339,0.0319-0.0781,0.764-0.8535,0.0013-0.0152,0.0-0.0,0.0-0.0,-0.0009-0.0075,0.0-0.0,-0.0008-0.0049,-0.0027-0.0258
bV,0.0-0.0,0.0-0.0,-1.1009-1.7676,0.0-0.0,-0.5504-0.8838,0.0-0.0,-0.5504-0.8838,-1.1009-1.7676,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0
V,0.5409-0.6628,0.0019-0.0356,0.002-0.0333,0.0978-0.176,0.0944-0.1655,0.0374-0.0851,0.0-0.0,-0.0032-0.0124,-0.0051-0.031,0.0-0.0,0.0027-0.0217,-0.0002-0.0006
bVI,0.0183-0.3988,0.0-0.0,0.0-0.0,-0.0239-0.1654,0.1126-0.5192,-0.0497-0.2719,0.0-0.0,-0.0617-0.1728,-0.0308-0.0864,0.0-0.0,-0.0452-0.2059,-0.0164-0.2763
VI,0.0462-0.1434,0.0353-0.127,0.0206-0.0886,0.3223-0.5172,0.1047-0.2671,0.0882-0.1948,-0.0081-0.0242,0.0-0.0,-0.0025-0.0074,-0.0013-0.0039,-0.0081-0.0242,0.0-0.0
bVII,0.0814-0.4645,-0.0308-0.1641,0.0-0.0,0.0-0.0,0.0267-0.3441,-0.0305-0.0839,-0.0678-0.2178,0.0-0.0,-0.004-0.404,0.0-0.0,-0.0131-0.2264,-0.0107-0.144
VII,-0.0394-0.837,0.0-0.0,-0.027-0.0642,-0.1562-0.6904,-0.1673-0.5245,0.0-0.0,-0.0775-0.1847,0.0-0.0,-0.0502-0.2168,0.0-0.0,0.0-0.0,0.0-0.0
