ConfidenceIntervalTransitionalProbabilitiestableFor-output12cluster6of12.csv,I,bII,II,bIII,III,IV,bV,V,bVI,VI,bVII,VII
I,0.246-0.4524,-0.0024-0.0509,-0.0126-0.0371,0.0755-0.217,0.0356-0.2181,-0.0079-0.0231,-0.0066-0.0193,-0.0065-0.0246,0.079-0.2471,-0.002-0.0058,0.007-0.0698,0.0347-0.1655
bII,-0.1641-1.0931,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0,-0.0802-0.1705,-0.0573-0.1218,-0.1895-0.4028,-0.1174-0.4202,-0.3553-0.7553
II,-0.0504-0.7112,-0.094-0.2238,0.0-0.0,-0.0885-0.389,-0.0119-0.3248,-0.0141-0.0336,0.0-0.0,0.0-0.0,-0.1663-0.4131,0.0-0.0,0.0-0.0,-0.1799-0.5095
bIII,0.0032-0.0581,0.0-0.0,0.0-0.0,0.8024-0.947,-0.0089-0.0298,0.0-0.0,0.0-0.0,-0.0084-0.0634,-0.0042-0.0506,0.0-0.0,0.0-0.0,-0.012-0.079
III,nan-nan,nan-nan,nan-nan,nan-nan,nan-nan,nan-nan,nan-nan,nan-nan,nan-nan,nan-nan,nan-nan,nan-nan
IV,0.317-0.5734,-0.0047-0.0273,-0.0034-0.01,0.0676-0.1623,0.0988-0.2787,-0.0034-0.01,0.0-0.0,-0.0042-0.0124,0.021-0.1822,-0.0006-0.0018,0.0152-0.1496,0.0048-0.0815
bV,0.0-0.0,0.0-0.0,0.0-0.0,-0.4187-1.4187,-0.5456-1.0456,0.0-0.0,0.0-0.0,-0.5456-1.0456,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0
V,0.3461-0.6,-0.0024-0.1065,0.0-0.0,0.0261-0.135,0.1065-0.2897,0.0-0.0,0.0-0.0,0.0-0.0,-0.0057-0.1963,-0.0057-0.0296,-0.0292-0.1376,-0.004-0.0402
bVI,0.0299-0.3217,0.0-0.0,0.0-0.0,-0.0119-0.2307,0.0358-0.4255,-0.0531-0.2884,-0.0165-0.0459,-0.0128-0.1487,-0.0073-0.1192,-0.0206-0.0574,-0.0136-0.135,0.0118-0.2859
VI,-0.1745-0.3967,-0.1309-0.2975,0.0-0.0,-0.0926-0.7704,0.0-0.0,-0.1222-0.2777,-0.0873-0.1984,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0,-0.2086-0.8753
bVII,0.2415-0.6162,-0.0245-0.07,0.0-0.0,0.0437-0.3415,-0.0201-0.1295,-0.0031-0.0087,-0.0027-0.0076,0.0-0.0,-0.0039-0.213,0.0-0.0,0.0087-0.1507,0.0226-0.1781
VII,-0.0834-1.4168,-0.0188-0.0361,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0,-0.5268-1.0096,0.0-0.0,-0.1819-0.3485,0.0-0.0,0.0-0.0,0.0-0.0
