meanTransistionProbabilitiestableFor-output9cluster4of9.csv,I,bII,II,bIII,III,IV,bV,V,bVI,VI,bVII,VII
I,0.3315,0.0381,0.011,0.1549,0.1388,0.041,0.0057,0.0124,0.1332,0.0017,0.0271,0.0923
bII,0.5729,0.1111,0.0,0.0,0.037,0.0,0.0,0.0806,0.0179,0.0,0.0693,0.1111
II,0.2205,0.0795,0.0,0.1062,0.3783,0.0771,0.0,0.0417,0.0839,0.0,0.0,0.0128
bIII,0.0275,0.0064,0.0051,0.8978,0.0171,0.0,0.0,0.0118,0.0167,0.0,0.0,0.0176
III,0.3056,0.0,0.1204,0.4537,0.0,0.0833,0.0,0.0,0.0,0.0,0.037,0.0
IV,0.3373,0.0141,0.003,0.1313,0.2357,0.0074,0.0,0.0037,0.1202,0.0035,0.0694,0.0733
bV,0.0,0.0,0.0,0.6,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V,0.5105,0.0681,0.0,0.0922,0.1529,0.0123,0.0008,0.0,0.0787,0.0087,0.0463,0.0146
bVI,0.1711,0.0,0.0,0.1242,0.3305,0.0606,0.0139,0.0503,0.1432,0.0,0.0504,0.0559
VI,0.0667,0.0833,0.0643,0.4071,0.1364,0.055,0.0333,0.0,0.0,0.0,0.0,0.1538
bVII,0.2758,0.0217,0.0,0.222,0.0797,0.0027,0.0088,0.0,0.0977,0.0,0.1529,0.1299
VII,0.5333,0.0069,0.0,0.0,0.1,0.0,0.1931,0.0,0.1667,0.0,0.0,0.0
