meanTransistionProbabilitiestableFor-output7cluster4of7.csv,I,bII,II,bIII,III,IV,bV,V,bVI,VI,bVII,VII
I,0.6252,0.0348,0.0132,0.1115,0.096,0.0359,0.0006,0.002,0.0302,0.0002,0.0205,0.023
bII,0.4288,0.1075,0.0,0.0277,0.1391,0.0,0.0,0.1225,0.0135,0.0078,0.0767,0.075
II,0.2644,0.2671,0.0661,0.0602,0.1394,0.0479,0.0,0.0632,0.0066,0.0096,0.0021,0.0703
bIII,0.1606,0.1057,0.0076,0.1842,0.0826,0.0088,0.001,0.0328,0.1815,0.0031,0.1375,0.0916
III,0.09,0.131,0.2888,0.1953,0.1024,0.0966,0.0157,0.0058,0.0407,0.0291,0.0,0.0047
IV,0.2319,0.047,0.0175,0.3963,0.1228,0.0327,0.0,0.0006,0.0621,0.005,0.0231,0.0553
bV,0.1091,0.1228,0.0,0.2544,0.2368,0.0263,0.0334,0.0175,0.0,0.1416,0.0551,0.0029
V,0.4584,0.0259,0.0189,0.0722,0.3301,0.0196,0.0015,0.0005,0.0152,0.0037,0.0269,0.0113
bVI,0.1861,0.0032,0.0007,0.098,0.2447,0.029,0.0079,0.0909,0.0542,0.0046,0.2127,0.0658
VI,0.0627,0.1763,0.0353,0.1526,0.132,0.3393,0.0116,0.0156,0.0007,0.003,0.019,0.0488
bVII,0.1344,0.0123,0.0,0.0581,0.1548,0.054,0.0042,0.0008,0.1737,0.0,0.1233,0.2844
VII,0.1346,0.0385,0.2051,0.0,0.0769,0.1538,0.2276,0.0,0.0,0.0865,0.0769,0.0
