ConfidenceIntervalTransitionalProbabilitiestableFor-output10cluster4of10.csv,I,bII,II,bIII,III,IV,bV,V,bVI,VI,bVII,VII
I,0.2152-0.3366,0.0397-0.1391,0.0028-0.0671,0.1604-0.265,0.0884-0.212,0.1276-0.2598,-0.002-0.0082,0.0-0.0,-0.0007-0.0033,0.0-0.0,-0.0001-0.0365,0.002-0.0372
bII,-0.0655-0.9448,-0.0779-0.1494,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0,-0.1272-0.5717,-0.2338-0.4481,-0.0564-0.1082,0.0-0.0,-0.2148-0.5362
II,0.0702-0.2596,0.0269-0.1457,0.0136-0.1886,0.1706-0.4138,0.1185-0.2976,0.0061-0.1012,-0.0208-0.0613,-0.0135-0.0398,0.0-0.0,-0.0135-0.0398,-0.0011-0.0033,-0.0155-0.1078
bIII,-0.0104-0.0282,-0.0241-0.3931,-0.0332-0.0903,-0.06-0.2743,-0.0299-0.1127,-0.0829-0.2257,0.0-0.0,-0.0829-0.2257,0.0209-0.3778,-0.0332-0.0903,-0.001-0.4469,-0.0207-0.0564
III,-0.0047-0.048,0.0932-0.3772,0.0292-0.1845,0.1377-0.4297,-0.0294-0.1039,0.1037-0.3417,0.0-0.0,-0.0086-0.0454,-0.0331-0.1083,-0.0181-0.0526,0.0-0.0,-0.0181-0.0526
IV,0.0313-0.0773,0.0094-0.0479,0.0046-0.0329,0.0302-0.0846,0.7496-0.8562,0.0006-0.024,0.0-0.0,0.0-0.0,-0.0015-0.0083,0.0-0.0,-0.0047-0.0228,-0.0032-0.0299
bV,0.0-0.0,0.0-0.0,-1.1009-1.7676,0.0-0.0,-0.5504-0.8838,0.0-0.0,-0.5504-0.8838,-1.1009-1.7676,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0
V,0.5805-0.7034,0.0035-0.0185,0.0014-0.0218,0.089-0.1768,0.0787-0.1517,0.0327-0.0852,0.0-0.0,-0.0038-0.0144,-0.0013-0.0077,0.0-0.0,0.0031-0.0251,-0.0021-0.0062
bVI,0.0183-0.3988,0.0-0.0,0.0-0.0,-0.0239-0.1654,0.1545-0.5709,-0.0497-0.2719,0.0-0.0,-0.0617-0.1728,-0.0308-0.0864,0.0-0.0,-0.0452-0.2059,-0.016-0.1824
VI,0.0454-0.1522,0.0394-0.1437,0.0184-0.0879,0.3945-0.6048,0.0348-0.1091,0.0996-0.2192,-0.0093-0.0278,0.0-0.0,-0.0029-0.0086,-0.0015-0.0045,-0.0093-0.0278,0.0-0.0
bVII,0.1619-0.5745,-0.0382-0.1048,0.0-0.0,-0.0109-0.03,-0.0183-0.2891,-0.0305-0.0839,-0.0678-0.2178,0.0-0.0,-0.004-0.404,0.0-0.0,-0.0119-0.1252,0.0031-0.1874
VII,-0.1733-0.8816,0.0-0.0,-0.0341-0.0776,-0.1968-0.82,-0.212-0.6287,0.0-0.0,-0.0982-0.2232,0.0-0.0,-0.0654-0.1488,0.0-0.0,0.0-0.0,0.0-0.0
