meanTransistionProbabilitiestableFor-output5cluster3of5.csv,I,bII,II,bIII,III,IV,bV,V,bVI,VI,bVII,VII
I,0.2721,0.0816,0.0389,0.2587,0.1647,0.1416,0.0043,0.0,0.006,0.0,0.0174,0.0125
bII,0.4397,0.0357,0.0,0.0,0.0,0.0,0.0,0.2223,0.1071,0.0259,0.0,0.1607
II,0.2045,0.0927,0.0939,0.2526,0.2415,0.0537,0.0126,0.0082,0.0005,0.009,0.0007,0.0288
bIII,0.006,0.123,0.0286,0.3635,0.0276,0.0476,0.0,0.0476,0.1551,0.019,0.1582,0.0119
III,0.03,0.2108,0.0742,0.3064,0.098,0.2226,0.0,0.0111,0.0247,0.0104,0.0,0.0104
IV,0.0989,0.0438,0.0349,0.0579,0.725,0.0171,0.0,0.0,0.0044,0.0,0.0082,0.0094
bV,0.0,0.0,0.25,0.25,0.125,0.0,0.125,0.25,0.0,0.0,0.0,0.0
V,0.5798,0.0232,0.0246,0.1482,0.1291,0.061,0.0,0.0036,0.0103,0.0,0.0097,0.0042
bVI,0.2383,0.0,0.0,0.0606,0.3303,0.0952,0.0,0.0476,0.0238,0.0,0.0927,0.1114
VI,0.0833,0.0926,0.0692,0.3951,0.2023,0.1373,0.0068,0.0,0.0021,0.0011,0.0068,0.0017
bVII,0.1966,0.0417,0.0417,0.1667,0.1159,0.0167,0.0885,0.0,0.1458,0.0,0.0667,0.1198
VII,0.349,0.0417,0.0996,0.2337,0.1563,0.0,0.0469,0.0,0.0729,0.0,0.0,0.0
