ConfidenceIntervalTransitionalProbabilitiestableFor-output12cluster3of12.csv,I,bII,II,bIII,III,IV,bV,V,bVI,VI,bVII,VII
I,0.283-0.4223,0.0091-0.062,-0.0015-0.0085,0.0633-0.1714,0.0358-0.1422,-0.0036-0.0599,-0.0008-0.0024,-0.007-0.0328,0.0088-0.0561,0.0-0.0,0.0972-0.2304,0.0898-0.2335
bII,-0.0161-0.6129,-0.004-0.0104,-0.0631-0.1631,-0.1262-0.3262,0.0-0.0,0.0-0.0,0.0-0.0,-0.0294-0.3913,-0.032-0.601,0.0-0.0,0.0-0.0,-0.0245-0.0903
II,0.0664-0.3654,0.0716-0.3512,0.0-0.0,-0.0384-0.2483,0.0234-0.4446,0.0-0.0,0.0-0.0,0.0-0.0,-0.0194-0.2919,0.0-0.0,-0.0354-0.0979,-0.0666-0.1992
bIII,0.0017-0.1207,-0.0279-0.0812,-0.0026-0.0075,0.0223-0.1822,-0.0173-0.1325,-0.004-0.0117,0.0-0.0,-0.0158-0.0552,0.0238-0.1779,0.0-0.0,0.079-0.3217,0.258-0.5922
III,0.0-0.0,-0.0149-0.4725,0.0405-0.414,-0.0236-0.4664,-0.021-0.0544,-0.0141-0.1925,-0.0316-0.0816,-0.102-0.352,-0.0631-0.1631,0.0-0.0,0.0-0.0,0.0-0.0
IV,0.0712-0.2352,-0.011-0.0739,-0.0012-0.0763,0.0936-0.2287,0.1191-0.3283,-0.0007-0.0022,0.0-0.0,-0.0042-0.0266,0.0213-0.1438,0.0-0.0,0.0744-0.2825,0.0316-0.1893
bV,0.0-0.0,0.0-0.0,0.0-0.0,1.0-1.0,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0
V,0.4095-0.6477,-0.003-0.0088,-0.0087-0.0394,0.0269-0.1734,0.0544-0.1873,-0.004-0.0342,0.0-0.0,0.0-0.0,-0.0027-0.008,0.0-0.0,0.0717-0.2747,-0.0004-0.054
bVI,0.0119-0.0892,-0.002-0.006,0.0-0.0,-0.0015-0.0984,0.0312-0.1566,-0.0037-0.0109,-0.0024-0.0073,0.0-0.0,0.0091-0.0732,-0.004-0.0119,0.0127-0.0753,0.6169-0.8032
VI,-0.0335-0.1668,-0.0254-0.2586,-0.0399-0.1048,-0.0073-0.5527,-0.0662-0.2722,-0.0303-0.359,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0,-0.0203-0.2359,-0.0809-0.3536
bVII,0.5556-0.7195,0.0-0.0,0.0-0.0,0.0353-0.1217,-0.0032-0.0834,-0.0032-0.0137,-0.0065-0.0193,-0.0-0.0139,0.0155-0.0666,-0.0006-0.0018,0.0444-0.1235,0.0534-0.1375
VII,-1.1009-1.7676,0.0-0.0,0.0-0.0,-0.5504-0.8838,0.0-0.0,0.0-0.0,-0.3838-1.0504,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0
