ConfidenceIntervalTransitionalProbabilitiestableFor-output10cluster5of10.csv,I,bII,II,bIII,III,IV,bV,V,bVI,VI,bVII,VII
I,0.3149-0.4465,0.0123-0.0609,-0.0014-0.0076,0.0518-0.1205,0.0363-0.133,0.0018-0.0273,-0.0007-0.0022,-0.0068-0.0288,0.0163-0.066,0.0-0.0,0.0953-0.218,0.109-0.2538
bII,-0.0667-0.4635,-0.004-0.0104,-0.0631-0.1631,-0.1262-0.3262,0.0-0.0,0.0-0.0,0.0-0.0,-0.0294-0.3913,-0.032-0.601,-0.1262-0.3262,0.0-0.0,-0.0245-0.0903
II,0.0759-0.3281,0.0848-0.3236,0.0-0.0,-0.0315-0.2083,0.1492-0.5541,0.0-0.0,0.0-0.0,0.0-0.0,-0.0185-0.1427,0.0-0.0,-0.0219-0.0937,-0.0546-0.1662
bIII,0.003-0.059,-0.0231-0.1305,-0.0022-0.0066,0.0454-0.2388,-0.0164-0.1555,-0.0035-0.0102,0.0-0.0,-0.0137-0.0484,0.0134-0.1486,0.0-0.0,0.0386-0.2302,0.3102-0.6205
III,0.0-0.0,-0.0149-0.4725,0.0405-0.414,-0.0236-0.4664,-0.021-0.0544,-0.0141-0.1925,-0.0316-0.0816,-0.102-0.352,-0.0631-0.1631,0.0-0.0,0.0-0.0,0.0-0.0
IV,0.1349-0.3171,-0.0041-0.0745,-0.0011-0.0677,0.0983-0.2376,0.1064-0.2956,-0.0006-0.0019,0.0-0.0,-0.0016-0.0306,0.0196-0.1254,0.0-0.0,0.0542-0.2302,0.0276-0.1687
bV,0.0-0.0,0.0-0.0,0.0-0.0,-0.7676-2.1009,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0,-1.1009-1.7676,0.0-0.0,0.0-0.0,0.0-0.0
V,0.3338-0.5565,-0.0081-0.0336,-0.0083-0.0374,0.0409-0.2076,0.1028-0.2587,-0.0038-0.0325,0.0-0.0,0.0-0.0,-0.0026-0.0076,0.0-0.0,0.0655-0.2589,-0.0058-0.0435
bVI,0.0173-0.1004,-0.0019-0.0057,0.0-0.0,0.003-0.1277,0.0225-0.144,-0.018-0.0666,-0.0023-0.007,0.0-0.0,0.0116-0.083,-0.0038-0.0114,0.0142-0.0826,0.5606-0.7685
VI,-0.0366-0.2977,-0.023-0.2367,-0.0357-0.0953,-0.0451-0.3785,-0.0593-0.2482,-0.0274-0.3288,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0,-0.0034-0.2288,-0.0436-0.4602
bVII,0.6358-0.7746,-0.0025-0.0074,0.0-0.0,0.0343-0.1136,-0.0011-0.0238,-0.0028-0.0123,-0.0049-0.0183,-0.0-0.0125,0.0118-0.0489,-0.0005-0.0016,0.0378-0.1094,0.0442-0.1186
VII,-0.4187-1.4187,0.0-0.0,0.0-0.0,-0.2728-0.5228,0.0-0.0,0.0-0.0,-0.2093-0.7093,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0
