meanTransistionProbabilitiestableFor-output11cluster8of11.csv,I,bII,II,bIII,III,IV,bV,V,bVI,VI,bVII,VII
I,0.2415,0.1012,0.0853,0.2302,0.2306,0.0714,0.0005,0.0001,0.0216,0.0,0.002,0.0101
bII,0.25,0.125,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.125,0.0,0.0
II,0.2085,0.0744,0.1253,0.1669,0.2971,0.0528,0.0,0.0,0.0315,0.0321,0.0,0.0114
bIII,0.1363,0.0833,0.0903,0.1042,0.0625,0.0,0.0,0.0,0.0764,0.0,0.2336,0.1996
III,0.0078,0.0676,0.0365,0.7736,0.0297,0.0838,0.0,0.0009,0.0,0.0,0.0,0.0
IV,0.3349,0.0617,0.0593,0.1524,0.2947,0.0519,0.0021,0.0007,0.0053,0.0105,0.0057,0.0138
bV,0.1111,0.0,0.0,0.1111,0.4444,0.1111,0.0,0.0,0.1111,0.0,0.0,0.1111
V,0.4198,0.0705,0.0224,0.163,0.1874,0.1104,0.0011,0.0,0.0039,0.0,0.0135,0.0053
bVI,0.1112,0.0,0.0,0.2,0.2333,0.2,0.0077,0.0,0.1357,0.0214,0.083,0.0077
VI,0.0615,0.1155,0.2645,0.1108,0.2845,0.128,0.0044,0.0233,0.0,0.0,0.0,0.0029
bVII,0.1146,0.0417,0.0,0.3526,0.1283,0.0938,0.1354,0.0,0.0587,0.0,0.0313,0.0313
VII,0.2381,0.0476,0.2024,0.0,0.0,0.1429,0.1429,0.0,0.0476,0.1429,0.0,0.0
