ConfidenceIntervalTransitionalProbabilitiestableFor-output5cluster3of5.csv,I,bII,II,bIII,III,IV,bV,V,bVI,VI,bVII,VII
I,0.2251-0.3191,0.0454-0.1179,0.0134-0.0645,0.2099-0.3074,0.1122-0.2173,0.0951-0.1881,-0.0012-0.0099,0.0-0.0,-0.0036-0.0155,0.0-0.0,0.0031-0.0317,0.0012-0.0238
bII,-0.0655-0.9448,-0.0779-0.1494,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0,-0.1272-0.5717,-0.2338-0.4481,-0.0564-0.1082,0.0-0.0,-0.2148-0.5362
II,0.1198-0.2892,0.0462-0.1393,0.0344-0.1535,0.168-0.3371,0.1717-0.3113,0.017-0.0905,-0.0126-0.0378,-0.0082-0.0246,-0.0005-0.0015,-0.0075-0.0254,-0.0007-0.002,-0.0094-0.0669
bIII,-0.0065-0.0184,-0.0156-0.2617,-0.015-0.0721,0.1503-0.5767,-0.0186-0.0738,-0.0517-0.147,0.0-0.0,-0.0517-0.147,0.0322-0.278,-0.0207-0.0588,0.0084-0.3079,-0.0129-0.0367
III,0.0015-0.0585,0.109-0.3127,0.0251-0.1233,0.1901-0.4227,0.025-0.171,0.131-0.3142,0.0-0.0,-0.005-0.0272,-0.0174-0.0668,-0.0105-0.0314,0.0-0.0,-0.0105-0.0314
IV,0.0708-0.127,0.0174-0.0702,0.0109-0.059,0.0377-0.0781,0.6727-0.7773,0.0044-0.0297,0.0-0.0,0.0-0.0,-0.0004-0.0093,0.0-0.0,-0.0023-0.0187,-0.0019-0.0207
bV,0.0-0.0,0.0-0.0,-0.5456-1.0456,-0.5456-1.0456,-0.2728-0.5228,0.0-0.0,-0.2728-0.5228,-0.5456-1.0456,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0
V,0.5261-0.6336,0.0081-0.0384,0.0078-0.0414,0.1124-0.184,0.0996-0.1585,0.0398-0.0821,0.0-0.0,-0.0025-0.0098,-0.004-0.0245,0.0-0.0,0.0021-0.0172,0.0006-0.0077
bVI,0.0579-0.4187,0.0-0.0,0.0-0.0,-0.0201-0.1413,0.1423-0.5182,-0.0417-0.2322,0.0-0.0,-0.0517-0.147,-0.0259-0.0735,0.0-0.0,-0.022-0.2074,-0.0139-0.2367
VI,0.0416-0.125,0.0454-0.1398,0.0339-0.1045,0.3069-0.4832,0.125-0.2796,0.0906-0.184,-0.0067-0.0202,0.0-0.0,-0.0021-0.0062,-0.0011-0.0032,-0.0067-0.0202,-0.0017-0.0051
bVII,0.0681-0.3251,-0.0179-0.1013,-0.0445-0.1279,0.0059-0.3274,0.0138-0.2179,-0.0178-0.0511,-0.0305-0.2076,0.0-0.0,0.0141-0.2776,0.0-0.0,-0.008-0.1413,0.0209-0.2187
VII,-0.0362-0.7341,-0.0569-0.1402,-0.0957-0.2949,-0.1292-0.5966,-0.138-0.4505,0.0-0.0,-0.064-0.1577,0.0-0.0,-0.0415-0.1873,0.0-0.0,0.0-0.0,0.0-0.0
