meanTransistionProbabilitiestableFor-output12cluster5of12.csv,I,bII,II,bIII,III,IV,bV,V,bVI,VI,bVII,VII
I,0.4257,0.0726,0.006,0.2444,0.0897,0.0893,0.0034,0.0014,0.0057,0.0,0.0104,0.0473
bII,0.3056,0.3333,0.0,0.0278,0.2778,0.0,0.0,0.0,0.0556,0.0,0.0,0.0
II,0.0157,0.0665,0.0,0.0035,0.8955,0.0046,0.0034,0.0028,0.0,0.0,0.0079,0.0
bIII,0.05,0.1833,0.0,0.3528,0.0833,0.0,0.0,0.0278,0.1778,0.0,0.0417,0.0833
III,0.0621,0.0909,0.2562,0.189,0.2446,0.1074,0.0,0.0,0.0,0.0455,0.0,0.0043
IV,0.3433,0.1198,0.0061,0.2386,0.1941,0.0,0.0,0.0,0.0265,0.02,0.0061,0.0278
bV,0.3148,0.1111,0.0556,0.0,0.3519,0.0,0.0556,0.0,0.0,0.0556,0.0556,0.0
V,0.5525,0.0845,0.0018,0.0968,0.1933,0.0175,0.0025,0.0,0.0014,0.0014,0.0136,0.0068
bVI,0.2292,0.0833,0.0,0.1361,0.2978,0.0,0.0,0.0,0.1222,0.0,0.0488,0.0825
VI,0.2406,0.113,0.0943,0.3103,0.0165,0.1504,0.0167,0.0,0.0,0.0,0.0069,0.0512
bVII,0.3144,0.0068,0.0,0.3302,0.0764,0.0476,0.0,0.0349,0.019,0.0,0.0812,0.0885
VII,0.3333,0.0,0.4,0.0,0.0,0.0667,0.1,0.0,0.0,0.1,0.0,0.0
