ConfidenceIntervalTransitionalProbabilitiestableFor-output7cluster2of7.csv,I,bII,II,bIII,III,IV,bV,V,bVI,VI,bVII,VII
I,0.2108-0.3183,0.0411-0.123,0.0057-0.0582,0.1943-0.3035,0.1212-0.2464,0.0981-0.2051,-0.0015-0.0116,0.0-0.0,-0.0006-0.0026,0.0-0.0,0.0015-0.0317,0.0005-0.027
bII,-0.0655-0.9448,-0.0779-0.1494,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0,-0.1272-0.5717,-0.2338-0.4481,-0.0564-0.1082,0.0-0.0,-0.2148-0.5362
II,0.0781-0.2372,0.0405-0.1444,0.0344-0.18,0.1686-0.3657,0.1416-0.29,0.026-0.1446,-0.0159-0.0473,-0.0103-0.0307,-0.0006-0.0019,-0.0094-0.0317,-0.0009-0.0026,-0.0119-0.0834
bIII,-0.0077-0.0216,-0.0184-0.3055,-0.0247-0.0691,0.0777-0.5334,-0.0222-0.0866,-0.0617-0.1728,0.0-0.0,-0.0617-0.1728,0.0141-0.296,-0.0247-0.0691,-0.0018-0.3486,-0.0154-0.0432
III,-0.0007-0.0516,0.1439-0.3973,0.0293-0.1551,0.1583-0.4081,-0.0153-0.1106,0.1118-0.3048,0.0-0.0,-0.0066-0.0355,-0.0254-0.0844,-0.0139-0.0409,0.0-0.0,-0.0139-0.0409
IV,0.0526-0.1056,0.0099-0.0399,0.0074-0.0573,0.0324-0.0769,0.7226-0.823,0.0045-0.0346,0.0-0.0,0.0-0.0,-0.0009-0.0071,0.0-0.0,-0.0008-0.0046,-0.0022-0.0246
bV,0.0-0.0,0.0-0.0,-0.5456-1.0456,-0.5456-1.0456,-0.2728-0.5228,0.0-0.0,-0.2728-0.5228,-0.5456-1.0456,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0
V,0.5221-0.6402,0.0069-0.0417,0.0014-0.0305,0.1152-0.1954,0.0948-0.1596,0.0392-0.086,0.0-0.0,-0.003-0.0115,-0.0047-0.0288,0.0-0.0,0.0025-0.0202,-0.0011-0.004
bVI,0.0183-0.3988,0.0-0.0,0.0-0.0,-0.0239-0.1654,0.1126-0.5192,-0.0497-0.2719,0.0-0.0,-0.0617-0.1728,-0.0308-0.0864,0.0-0.0,-0.0452-0.2059,-0.0164-0.2763
VI,0.0413-0.1308,0.0344-0.1208,0.0236-0.0906,0.2896-0.4799,0.1499-0.3261,0.0849-0.1864,-0.0076-0.0227,0.0-0.0,-0.0023-0.007,-0.0012-0.0036,-0.0076-0.0227,0.0-0.0
bVII,0.0681-0.4136,-0.0266-0.1442,-0.0659-0.1835,0.0-0.0,0.0221-0.305,-0.0264-0.0734,-0.045-0.295,0.0-0.0,-0.004-0.3569,0.0-0.0,-0.0114-0.1997,-0.0093-0.127
VII,-0.0362-0.7341,-0.0569-0.1402,-0.0957-0.2949,-0.1292-0.5966,-0.138-0.4505,0.0-0.0,-0.064-0.1577,0.0-0.0,-0.0415-0.1873,0.0-0.0,0.0-0.0,0.0-0.0
