meanTransistionProbabilitiestableFor-output4cluster2of4.csv,I,bII,II,bIII,III,IV,bV,V,bVI,VI,bVII,VII
I,0.5703,0.0321,0.0109,0.0977,0.0731,0.0226,0.0016,0.0064,0.035,0.0005,0.0585,0.084
bII,0.4181,0.0376,0.0132,0.0453,0.1162,0.0,0.0,0.1374,0.0664,0.0316,0.0601,0.06
II,0.2129,0.2382,0.0471,0.0703,0.1678,0.0486,0.0,0.0602,0.0429,0.0096,0.0114,0.0876
bIII,0.1356,0.0768,0.005,0.1966,0.0693,0.0051,0.0006,0.031,0.1492,0.0022,0.1291,0.1958
III,0.0717,0.125,0.278,0.1467,0.0758,0.1454,0.0303,0.0319,0.0585,0.0266,0.0,0.0065
IV,0.1995,0.0371,0.0204,0.3312,0.1207,0.0203,0.0,0.0047,0.0904,0.0041,0.0687,0.0956
bV,0.0901,0.1014,0.0,0.3406,0.1957,0.0217,0.0276,0.0145,0.0435,0.117,0.0455,0.0024
V,0.401,0.019,0.0215,0.1252,0.283,0.0214,0.0014,0.0005,0.0162,0.0022,0.0745,0.0232
bVI,0.1291,0.0025,0.0004,0.0981,0.1685,0.018,0.0052,0.053,0.0549,0.004,0.1475,0.3177
VI,0.0782,0.1619,0.0644,0.0978,0.0922,0.2952,0.0127,0.0,0.0008,0.0048,0.0399,0.1487
bVII,0.4309,0.0065,0.0,0.1012,0.0778,0.0098,0.0045,0.003,0.104,0.0002,0.0887,0.1685
VII,0.2206,0.0294,0.2059,0.0294,0.0588,0.0625,0.239,0.0,0.0,0.0662,0.0588,0.0
