meanTransistionProbabilitiestableFor-output12cluster10of12.csv,I,bII,II,bIII,III,IV,bV,V,bVI,VI,bVII,VII
I,0.2911,0.0448,0.0073,0.4217,0.158,0.0266,0.0004,0.0003,0.0257,0.0,0.0065,0.0106
bII,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.1774,0.1626,0.4
II,0.2034,0.1736,0.0571,0.4118,0.0683,0.0,0.0,0.0381,0.0,0.0,0.0,0.0476
bIII,0.2213,0.0714,0.0,0.0536,0.0893,0.0,0.0,0.0065,0.2015,0.0357,0.2901,0.0306
III,0.1,0.255,0.2405,0.0145,0.1354,0.1269,0.0,0.0,0.125,0.0,0.0,0.0
IV,0.7471,0.0172,0.0147,0.0774,0.1047,0.0128,0.0,0.0,0.0033,0.0,0.0,0.0188
bV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.4,0.0
V,0.5105,0.0231,0.0012,0.1603,0.1901,0.0757,0.0,0.0,0.0,0.0,0.0087,0.0125
bVI,0.2173,0.0,0.0038,0.0833,0.0893,0.0,0.0,0.1944,0.113,0.0,0.1749,0.1187
VI,0.3022,0.1215,0.0839,0.2702,0.0629,0.1332,0.0043,0.0,0.0,0.0,0.0,0.0217
bVII,0.3183,0.0,0.0,0.0521,0.4426,0.0298,0.0,0.0,0.0179,0.0,0.0194,0.1152
VII,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.5
