ConfidenceIntervalTransitionalProbabilitiestableFor-output10cluster1of10.csv,I,bII,II,bIII,III,IV,bV,V,bVI,VI,bVII,VII
I,0.2766-0.4673,0.006-0.065,-0.0119-0.0351,0.0855-0.2162,0.0394-0.2145,-0.0074-0.0218,-0.0062-0.0182,-0.0035-0.0267,0.0681-0.2268,-0.0019-0.0055,0.0024-0.0517,0.0285-0.1493
bII,0.1943-0.9697,0.0-0.0,0.0-0.0,0.0-0.0,-0.0823-0.3323,0.0-0.0,0.0-0.0,-0.0385-0.095,-0.0275-0.0678,0.0-0.0,-0.0188-0.2581,-0.1706-0.4206
II,-0.0349-0.4975,-0.0574-0.1483,0.0-0.0,-0.0543-0.2647,0.0612-0.6078,-0.1003-0.2853,0.0-0.0,-0.0947-0.2447,-0.0863-0.2876,0.0-0.0,0.0-0.0,-0.0194-0.0502
bIII,0.003-0.055,-0.0139-0.0409,-0.0056-0.0164,0.8114-0.9477,-0.0062-0.0422,0.0-0.0,0.0-0.0,-0.0085-0.0335,-0.004-0.0479,0.0-0.0,0.0-0.0,-0.013-0.0533
III,-0.5311-1.1422,0.0-0.0,-0.1908-0.4315,-0.1908-0.4315,0.0-0.0,-0.2752-0.4419,0.0-0.0,0.0-0.0,-1.1009-1.7676,0.0-0.0,-0.1223-0.1964,0.0-0.0
IV,0.2435-0.4722,-0.0026-0.0375,-0.0023-0.0131,0.0866-0.1825,0.1075-0.2811,-0.0034-0.0189,0.0-0.0,-0.004-0.0117,0.0416-0.2041,-0.0018-0.0136,0.0095-0.1368,0.0118-0.1395
bV,0.0-0.0,0.0-0.0,0.0-0.0,-0.0801-1.2801,-0.2801-1.0801,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0
V,0.3943-0.6176,0.0128-0.136,0.0-0.0,0.0229-0.1292,0.0801-0.2347,0.0-0.0,-0.001-0.0029,0.0-0.0,-0.0052-0.1753,-0.007-0.0204,-0.0148-0.1367,-0.0035-0.0359
bVI,0.0366-0.3257,0.0-0.0,0.0-0.0,-0.02-0.2241,0.1227-0.5772,-0.0603-0.1887,-0.0165-0.0459,-0.0286-0.2527,-0.0287-0.1555,0.0-0.0,-0.0208-0.1275,0.0047-0.1137
VI,-0.1745-0.3967,-0.1309-0.2975,-0.1208-0.2747,-0.0926-0.7704,0.0-0.0,-0.1222-0.2777,-0.0873-0.1984,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0,-0.1877-0.7005
bVII,0.1236-0.4606,-0.0233-0.0668,0.0-0.0,0.0806-0.3634,-0.0085-0.168,-0.0029-0.0084,-0.0036-0.0103,0.0-0.0,-0.0064-0.2017,0.0-0.0,0.0318-0.2523,0.0354-0.2244
VII,-0.3789-1.2123,-0.0188-0.0361,0.0-0.0,0.0-0.0,-0.2728-0.5228,0.0-0.0,-0.5268-1.0096,0.0-0.0,-0.1895-0.6061,0.0-0.0,0.0-0.0,0.0-0.0
