meanTransistionProbabilitiestableFor-output6cluster5of6.csv,I,bII,II,bIII,III,IV,bV,V,bVI,VI,bVII,VII
I,0.3791,0.034,0.0026,0.1283,0.0917,0.0195,0.0005,0.0114,0.0478,0.0008,0.1182,0.1594
bII,0.2871,0.0021,0.0333,0.0667,0.0,0.0,0.0,0.1357,0.2004,0.1022,0.0505,0.0886
II,0.1949,0.1562,0.0,0.0932,0.2761,0.0564,0.0,0.0,0.1039,0.0,0.0266,0.0926
bIII,0.0678,0.0348,0.0014,0.2489,0.0589,0.0022,0.0,0.0301,0.0861,0.0,0.1116,0.3565
III,0.0256,0.2529,0.2005,0.1703,0.0128,0.1712,0.0192,0.0962,0.0385,0.0,0.0,0.0
IV,0.2861,0.032,0.0354,0.1684,0.1484,0.0004,0.0,0.0108,0.0981,0.0023,0.1264,0.0858
bV,0.1667,0.0,0.0,0.5,0.0,0.0,0.0,0.1667,0.1667,0.0,0.0,0.0
V,0.4238,0.0103,0.0092,0.2009,0.153,0.0105,0.0,0.0,0.0016,0.0018,0.1249,0.0447
bVI,0.0577,0.0015,0.0,0.0867,0.1047,0.0212,0.0019,0.0177,0.0663,0.0082,0.0556,0.5785
VI,0.0883,0.1076,0.0451,0.2832,0.0626,0.101,0.0,0.0,0.0,0.0,0.0712,0.2368
bVII,0.7151,0.0017,0.0,0.0683,0.0221,0.0039,0.0046,0.0043,0.0289,0.0004,0.067,0.0775
VII,0.5,0.0,0.0,0.125,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0
