meanTransistionProbabilitiestableFor-output11cluster4of11.csv,I,bII,II,bIII,III,IV,bV,V,bVI,VI,bVII,VII
I,0.3426,0.0401,0.0116,0.152,0.1428,0.0237,0.006,0.0131,0.1405,0.0018,0.0285,0.0889
bII,0.5173,0.1111,0.0,0.0,0.1111,0.0,0.0,0.0251,0.0179,0.0,0.1063,0.1111
II,0.2205,0.0379,0.0,0.1062,0.3991,0.0771,0.0,0.0625,0.0839,0.0,0.0,0.0128
bIII,0.029,0.0135,0.0054,0.8923,0.018,0.0,0.0,0.0125,0.0108,0.0,0.0,0.0186
III,0.3056,0.0,0.1204,0.1204,0.0,0.0833,0.0,0.0,0.3333,0.0,0.037,0.0
IV,0.3373,0.0216,0.0054,0.1366,0.2191,0.0078,0.0,0.0039,0.1228,0.0059,0.0732,0.0651
bV,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V,0.5198,0.0728,0.0,0.0951,0.1525,0.0097,0.0009,0.0,0.0841,0.0093,0.0244,0.0156
bVI,0.1812,0.0,0.0,0.102,0.35,0.0053,0.0147,0.112,0.1222,0.0,0.0533,0.0592
VI,0.0952,0.119,0.0659,0.231,0.1429,0.0786,0.0476,0.0,0.0,0.0,0.0,0.2198
bVII,0.2723,0.0238,0.0,0.1956,0.0873,0.003,0.0037,0.0,0.107,0.0,0.1556,0.1423
VII,0.4167,0.0086,0.0,0.0,0.125,0.0,0.2414,0.0,0.2083,0.0,0.0,0.0
