ConfidenceIntervalTransitionalProbabilitiestableFor-output7cluster6of7.csv,I,bII,II,bIII,III,IV,bV,V,bVI,VI,bVII,VII
I,0.1918-0.2943,0.0483-0.1208,0.0323-0.08,0.2471-0.3666,0.0731-0.1453,0.0737-0.1609,-0.0027-0.0588,-0.0009-0.0075,0.0003-0.0334,-0.0021-0.0261,-0.0006-0.0046,0.0026-0.0344
bII,-0.1235-0.4985,-0.0577-0.8077,0.0-0.0,0.0-0.0,-0.1706-0.4206,0.0-0.0,0.0-0.0,-0.0853-0.2103,-0.0685-0.3185,-0.0685-0.3185,0.0-0.0,0.0-0.0
II,0.0863-0.2131,0.0859-0.1764,0.0473-0.1491,0.0112-0.0501,0.4521-0.6024,0.0126-0.0478,-0.0073-0.0368,-0.0015-0.0124,-0.0011-0.0034,0.0-0.0,-0.0023-0.0108,-0.0019-0.0058
bIII,-0.0195-0.0788,0.0556-0.5222,-0.0153-0.0419,-0.01-0.2131,-0.0293-0.4293,0.0-0.0,0.0-0.0,-0.017-0.0466,0.0039-0.2243,-0.0033-0.0091,0.0046-0.3093,-0.0372-0.1928
III,-0.0035-0.0291,0.0186-0.0838,0.016-0.0642,0.02-0.0862,-0.0009-0.035,0.7561-0.8718,0.0-0.0,0.0-0.0,-0.0012-0.0144,-0.0031-0.0093,0.0-0.0,0.0-0.0
IV,0.2743-0.4113,0.0487-0.1347,0.075-0.2105,0.1217-0.2105,0.1193-0.2164,0.0002-0.0234,-0.0014-0.0041,0.0-0.0,-0.0013-0.0118,-0.0022-0.0168,-0.0012-0.0128,0.0222-0.0894
bV,-0.0751-0.2001,-0.0667-0.1778,0.0-0.0,0.0249-0.5874,-0.0235-0.4613,0.0-0.0,0.0108-0.5798,0.0-0.0,0.0-0.0,-0.0348-0.0928,-0.0392-0.1044,0.0-0.0
V,0.4774-0.6044,0.0111-0.0575,0.041-0.1016,0.0354-0.0909,0.1546-0.2446,0.027-0.0704,-0.0001-0.006,0.0-0.0,-0.0011-0.0112,-0.001-0.0134,0.0003-0.0176,-0.0004-0.0178
bVI,0.2343-0.7088,-0.0617-0.1728,0.0-0.0,-0.0617-0.1728,-0.036-0.286,-0.0617-0.1728,0.0-0.0,-0.0103-0.0288,-0.0308-0.0864,-0.0198-0.0555,-0.0004-0.2173,-0.0476-0.1944
VI,0.0685-0.1823,0.3142-0.4793,0.0179-0.0843,0.124-0.2401,0.0349-0.1267,0.0846-0.1776,-0.0038-0.0368,-0.0071-0.0214,0.0-0.0,-0.0014-0.0041,-0.0022-0.0095,-0.0014-0.0041
bVII,0.0731-0.3718,-0.0169-0.1693,-0.0234-0.11,0.0284-0.2069,-0.0217-0.1526,0.0643-0.3757,-0.0177-0.0511,0.0-0.0,0.0007-0.1821,0.0-0.0,-0.0179-0.0516,0.0154-0.2046
VII,0.0-0.0,-0.0497-0.1886,0.4316-0.8668,-0.0041-0.0115,-0.0129-0.0461,-0.0225-0.1187,-0.0068-0.192,0.0-0.0,-0.0617-0.1728,0.0-0.0,0.0-0.0,-0.0529-0.1825
