ConfidenceIntervalTransitionalProbabilitiestableFor-output12cluster7of12.csv,I,bII,II,bIII,III,IV,bV,V,bVI,VI,bVII,VII
I,0.161-0.2842,0.0296-0.0998,0.0161-0.0662,0.1903-0.3501,0.1113-0.259,0.0856-0.2246,-0.0008-0.0078,-0.0015-0.0085,-0.0024-0.0344,-0.0108-0.0321,-0.0-0.0055,-0.0058-0.0419
bII,-0.0456-1.5456,-0.5456-1.0456,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0
II,0.0124-0.0998,0.0603-0.1626,0.0041-0.0635,0.0263-0.1158,0.5761-0.7676,0.0006-0.0708,-0.0011-0.0034,-0.0029-0.0162,0.0-0.0,-0.0011-0.0034,0.0-0.0,-0.0081-0.024
bIII,-0.0689-0.1641,-0.1505-0.6505,0.0-0.0,-0.1242-0.5454,-0.0276-0.0657,0.0-0.0,0.0-0.0,0.0-0.0,-0.0827-0.197,0.0-0.0,-0.0394-0.387,-0.112-0.5955
III,-0.0343-0.1943,0.0666-0.3634,-0.0065-0.1411,0.0557-0.2905,-0.0097-0.1268,0.1861-0.4487,-0.0213-0.0613,-0.0426-0.1226,0.0-0.0,-0.0093-0.0266,0.0-0.0,-0.0213-0.0613
IV,0.2337-0.4253,0.005-0.0328,0.0307-0.2006,0.0909-0.1939,0.1934-0.4028,-0.0037-0.0346,-0.0022-0.0065,0.0-0.0,-0.0044-0.0131,-0.0067-0.0259,-0.0013-0.0204,-0.0016-0.1087
bV,-0.2086-0.8753,0.0-0.0,0.0-0.0,-0.2086-0.8753,-0.2618-0.5951,0.0-0.0,-0.2618-0.5951,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0
V,0.5447-0.7015,0.0093-0.0602,-0.0008-0.0401,0.0882-0.2127,0.0783-0.1563,0.011-0.0488,0.0-0.0,0.0-0.0,-0.0013-0.0112,-0.0008-0.0023,-0.0018-0.0107,-0.0027-0.0161
bVI,0.0205-0.6462,0.0-0.0,0.0-0.0,0.0-0.0,-0.0374-0.5374,-0.0807-0.414,0.0-0.0,0.0-0.0,-0.0701-0.1867,0.0-0.0,-0.03-0.08,-0.0807-0.414
VI,-0.0008-0.0039,0.8304-0.9374,-0.003-0.0443,-0.0054-0.0249,0.0156-0.0925,0.0032-0.0496,-0.0011-0.0032,0.0-0.0,-0.0027-0.008,0.0-0.0,0.0-0.0,0.0-0.0
bVII,0.0006-0.2431,-0.06-0.2743,0.0-0.0,-0.0576-0.3592,-0.0304-0.1336,0.074-0.5712,0.0-0.0,0.0-0.0,0.031-0.3897,0.0-0.0,0.0-0.0,-0.0414-0.1129
VII,-0.3553-0.7553,0.0-0.0,-0.1784-0.685,-0.0237-0.0504,0.0-0.0,0.0-0.0,-0.0934-0.36,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0,-0.2801-1.0801
