ConfidenceIntervalTransitionalProbabilitiestableFor-output11cluster7of11.csv,I,bII,II,bIII,III,IV,bV,V,bVI,VI,bVII,VII
I,0.1983-0.3131,0.0396-0.1136,0.0344-0.0868,0.2195-0.3382,0.0689-0.1425,0.0828-0.1779,-0.0006-0.0696,-0.001-0.0085,-0.0027-0.032,-0.0024-0.0295,-0.0006-0.0052,0.003-0.0389
bII,-0.1235-0.4985,-0.0577-0.8077,0.0-0.0,0.0-0.0,-0.1706-0.4206,0.0-0.0,0.0-0.0,-0.0853-0.2103,-0.0685-0.3185,-0.0685-0.3185,0.0-0.0,0.0-0.0
II,0.0919-0.2338,0.0884-0.1878,0.0273-0.1154,0.0089-0.0594,0.4387-0.5989,0.0167-0.0571,-0.0093-0.0411,-0.0017-0.0075,-0.0013-0.0039,-0.0047-0.0141,-0.0026-0.0123,-0.0022-0.0066
bIII,-0.0373-0.1313,0.0589-0.5694,-0.0181-0.0489,-0.0163-0.1481,-0.0342-0.4958,0.0-0.0,0.0-0.0,-0.0202-0.0543,0.0053-0.258,-0.0039-0.0106,-0.0438-0.2906,-0.0605-0.163
III,-0.0012-0.0403,0.0096-0.0616,0.0172-0.0735,0.0108-0.064,-0.0016-0.024,0.7708-0.89,0.0-0.0,0.0-0.0,-0.0048-0.0412,0.0-0.0,0.0-0.0,0.0-0.0
IV,0.2847-0.4289,0.0466-0.1302,0.0492-0.1738,0.1307-0.2283,0.1275-0.2245,0.0013-0.0278,0.0-0.0,0.0-0.0,-0.0014-0.0134,-0.0026-0.0191,-0.0022-0.0108,0.0171-0.0891
bV,-0.0837-0.2201,-0.0744-0.1956,0.0-0.0,-0.0282-0.5143,0.0308-0.6286,0.0-0.0,-0.0428-0.5053,0.0-0.0,0.0-0.0,-0.0388-0.1021,-0.0437-0.1148,0.0-0.0
V,0.4528-0.5905,0.0114-0.062,0.0351-0.0983,0.0398-0.1029,0.1613-0.26,0.0282-0.0755,-0.0-0.0075,-0.0009-0.0027,-0.0027-0.0082,-0.0017-0.0145,-0.0008-0.0178,-0.0005-0.0202
bVI,0.1923-0.7346,-0.0829-0.2257,0.0-0.0,-0.0829-0.2257,-0.0669-0.2454,0.0-0.0,0.0-0.0,-0.0138-0.0376,-0.0414-0.1129,-0.0266-0.0726,0.0004-0.2785,-0.064-0.2528
VI,0.0815-0.2082,0.2221-0.363,0.0119-0.0809,0.1566-0.2839,0.0496-0.1597,0.1033-0.2054,-0.0043-0.0416,-0.0081-0.0242,0.0-0.0,-0.0015-0.0046,-0.0025-0.0108,-0.0015-0.0046
bVII,0.0812-0.4023,-0.0129-0.048,-0.0218-0.2029,0.0315-0.2243,-0.0238-0.1661,0.0714-0.4069,-0.0195-0.0557,0.0-0.0,-0.0263-0.1381,0.0-0.0,-0.0197-0.0563,0.0015-0.1942
VII,-0.0659-0.1835,-0.0165-0.0459,0.4202-0.8839,0.0-0.0,-0.0138-0.049,-0.024-0.1259,-0.0226-0.1795,0.0-0.0,-0.0659-0.1835,0.0-0.0,0.0-0.0,-0.0565-0.1938
