meanTransistionProbabilitiestableFor-output12cluster2of12.csv,I,bII,II,bIII,III,IV,bV,V,bVI,VI,bVII,VII
I,0.2359,0.1119,0.1031,0.2601,0.1651,0.0737,0.0006,0.0002,0.0276,0.0,0.0022,0.0129
bII,0.25,0.125,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.125,0.0,0.0
II,0.218,0.0878,0.0658,0.157,0.3321,0.0393,0.0,0.0,0.0426,0.0419,0.0,0.0155
bIII,0.1363,0.0833,0.0903,0.1042,0.0625,0.0,0.0,0.0,0.0764,0.0,0.2336,0.1996
III,0.0,0.055,0.036,0.7975,0.0312,0.0793,0.0,0.0011,0.0,0.0,0.0,0.0
IV,0.3629,0.069,0.0595,0.1497,0.2683,0.0342,0.0026,0.0009,0.0066,0.0131,0.0071,0.0173
bV,0.125,0.0,0.0,0.0,0.5,0.125,0.0,0.0,0.125,0.0,0.0,0.125
V,0.4225,0.0647,0.0263,0.1682,0.1749,0.1143,0.0014,0.0,0.005,0.0,0.0172,0.0039
bVI,0.1235,0.0,0.0,0.2222,0.2593,0.1111,0.0085,0.0,0.1508,0.0238,0.0922,0.0085
VI,0.0737,0.1392,0.3325,0.1298,0.1433,0.1361,0.0057,0.0303,0.0,0.0,0.0,0.0038
bVII,0.1222,0.0444,0.0,0.3761,0.1368,0.1,0.0778,0.0,0.0626,0.0,0.0333,0.0333
VII,0.2778,0.0,0.125,0.0,0.0,0.1667,0.1667,0.0,0.0556,0.1667,0.0,0.0
