She'sALady,intro,A,Z,NonHarmonic,NonHarmonic,0,0,0
She'sALady,intro,A,E:min,II,min,1,4,0
She'sALady,intro,A,E:min,II,min,2,4,0
She'sALady,intro,A,E:min,II,min,3,4,0
She'sALady,verse,B,E:min,II,min,4,4,0
She'sALady,verse,B,E:min,II,min,1,4,0
She'sALady,verse,B,E:min,II,min,2,4,0
She'sALady,verse,B,D:maj7,I,maj7,3,4,0
She'sALady,verse,B,D:maj7,I,maj7,4,4,0
She'sALady,verse,B,E:min,II,min,1,4,0
She'sALady,verse,B,E:min,II,min,2,4,0
She'sALady,verse,B,D:maj7,I,maj7,3,4,0
She'sALady,chorus,C,D:maj7,I,maj7,4,4,0
She'sALady,chorus,C,E:min,II,min,1,4,0
She'sALady,chorus,C,"A:sus4(b7,9)",V,"sus4(b7,9)",2,4,0
She'sALady,chorus,C,D:maj7,I,maj7,3,4,0
She'sALady,chorus,C,D:maj7,I,maj7,4,4,0
She'sALady,chorus,C,E:min,II,min,1,4,0
She'sALady,chorus,C,"A:sus4(b7,9)",V,"sus4(b7,9)",2,4,0
She'sALady,chorus,C,B:min,VI,min,3,4,0
She'sALady,verse,B,B:min,VI,min,4,4,0
She'sALady,verse,B,E:min,II,min,1,4,0
She'sALady,verse,B,E:min,II,min,2,4,0
She'sALady,verse,B,D:maj7,I,maj7,3,4,0
She'sALady,verse,B,D:maj7,I,maj7,4,4,0
She'sALady,verse,B,E:min,II,min,1,4,0
She'sALady,verse,B,E:min,II,min,2,4,0
She'sALady,verse,B,D:maj7,I,maj7,3,4,0
She'sALady,chorus,C,D:maj7,I,maj7,4,4,0
She'sALady,chorus,C,E:min,II,min,1,4,0
She'sALady,chorus,C,"A:sus4(b7,9)",V,"sus4(b7,9)",2,4,0
She'sALady,chorus,C,D:maj7,I,maj7,3,4,0
She'sALady,chorus,C,D:maj7,I,maj7,4,4,0
She'sALady,chorus,C,E:min,II,min,1,4,0
She'sALady,chorus,C,"A:sus4(b7,9)",V,"sus4(b7,9)",2,4,0
She'sALady,chorus,C,B:min,VI,min,3,4,0
She'sALady,bridge,D,B:min,VI,min,4,4,0
She'sALady,bridge,D,Bb:maj,I,maj,1,4,0
She'sALady,bridge,D,F:maj/3,V,maj/3,1,4,0
She'sALady,bridge,D,Eb:maj,IV,maj,2,4,0
She'sALady,bridge,D,Bb:maj,I,maj,2,4,0
She'sALady,bridge,D,Bb:maj,I,maj,3,4,0
She'sALady,bridge,D,F:maj/3,V,maj/3,3,4,0
She'sALady,bridge,D,Eb:maj,IV,maj,4,4,0
She'sALady,bridge,D,Bb:maj,I,maj,4,4,0
She'sALady,bridge,D,Bb:maj,I,maj,1,4,0
She'sALady,bridge,D,F:maj/3,V,maj/3,1,4,0
She'sALady,bridge,D,Eb:maj,IV,maj,2,4,0
She'sALady,bridge,D,Bb:maj,I,maj,2,4,0
She'sALady,bridge,D,Bb:maj,I,maj,3,4,0
She'sALady,bridge,D,F:maj/3,V,maj/3,3,4,0
She'sALady,bridge,D,Eb:maj,IV,maj,4,4,0
She'sALady,bridge,D,G:maj,VI,maj,1,3,0
She'sALady,bridge,D,A:maj,VII,maj,2,3,0
She'sALady,verse,B,A:maj,VII,maj,3,3,0
She'sALady,verse,B,E:min,II,min,1,4,0
She'sALady,verse,B,"A:sus4(b7,9)",V,"sus4(b7,9)",2,4,0
She'sALady,verse,B,D:maj7,I,maj7,3,4,0
She'sALady,verse,B,D:maj7,I,maj7,4,4,0
She'sALady,verse,B,E:min,II,min,1,4,0
She'sALady,verse,B,"A:sus4(b7,9)",V,"sus4(b7,9)",2,4,0
She'sALady,verse,B,B:min,VI,min,3,4,0
She'sALady,chorus,C,B:min,VI,min,4,4,0
She'sALady,chorus,C,E:min,II,min,1,4,0
She'sALady,chorus,C,"A:sus4(b7,9)",V,"sus4(b7,9)",2,4,0
She'sALady,chorus,C,D:maj7,I,maj7,3,4,0
She'sALady,chorus,C,D:maj7,I,maj7,4,4,0
She'sALady,chorus,C,E:min,II,min,1,4,0
She'sALady,chorus,C,"A:sus4(b7,9)",V,"sus4(b7,9)",2,4,0
She'sALady,chorus,C,B:min,VI,min,3,4,0
She'sALady,outro,C,B:min,VI,min,4,4,0
She'sALady,outro,C,E:min,II,min,1,4,0
She'sALady,outro,C,"A:sus4(b7,9)",V,"sus4(b7,9)",2,4,0
She'sALady,outro,C,D:maj7,I,maj7,3,4,0
She'sALady,outro,C,D:maj7,I,maj7,4,4,0
She'sALady,outro,C,E:min,II,min,1,4,0
She'sALady,outro,C,"A:sus4(b7,9)",V,"sus4(b7,9)",2,4,0
She'sALady,outro,C,D:maj7,I,maj7,3,4,0
She'sALady,outro,C,D:maj7,I,maj7,4,4,0
She'sALady,outro,C,E:min,II,min,1,4,0
She'sALady,outro,C,"A:sus4(b7,9)",V,"sus4(b7,9)",2,4,0
She'sALady,outro,C,B:min,VI,min,3,4,0
She'sALady,outro,C,B:min,VI,min,4,4,0

Tenderness,intro,A,F:maj,IV,maj,1,4,0
Tenderness,intro,A,F:maj,IV,maj,2,4,0
Tenderness,intro,A,C:maj,I,maj,3,4,0
Tenderness,intro,A,G:maj,V,maj,4,4,0
Tenderness,intro,A,F:maj,IV,maj,1,8,0
Tenderness,intro,A,F:maj,IV,maj,2,8,0
Tenderness,intro,A,C:maj,I,maj,3,8,0
Tenderness,intro,A,G:maj,V,maj,4,8,0
Tenderness,intro,A,F:maj,IV,maj,5,8,0
Tenderness,intro,A,F:maj,IV,maj,6,8,0
Tenderness,intro,A,C:maj,I,maj,7,8,0
Tenderness,intro,A,G:maj,V,maj,8,8,0
Tenderness,verse,B,F:maj,IV,maj,1,8,0
Tenderness,verse,B,F:maj,IV,maj,2,8,0
Tenderness,verse,B,C:maj,I,maj,3,8,0
Tenderness,verse,B,G:maj,V,maj,4,8,0
Tenderness,verse,B,F:maj,IV,maj,5,8,0
Tenderness,verse,B,F:maj,IV,maj,6,8,0
Tenderness,verse,B,C:maj,I,maj,7,8,0
Tenderness,verse,B,G:maj,V,maj,8,8,0
Tenderness,verse,B,F:maj,IV,maj,1,8,0
Tenderness,verse,B,F:maj,IV,maj,2,8,0
Tenderness,verse,B,C:maj,I,maj,3,8,0
Tenderness,verse,B,G:maj,V,maj,4,8,0
Tenderness,verse,B,F:maj,IV,maj,5,8,0
Tenderness,verse,B,F:maj,IV,maj,6,8,0
Tenderness,verse,B,C:maj,I,maj,7,8,0
Tenderness,verse,B,G:maj,V,maj,8,8,0
Tenderness,trans,C',F:maj,IV,maj,1,4,0
Tenderness,trans,C',F:maj,IV,maj,2,4,0
Tenderness,trans,C',C:maj,I,maj,3,4,0
Tenderness,trans,C',G:maj,V,maj,4,4,0
Tenderness,chorus,C,F:maj6/9,IV,maj6/9,1,4,0
Tenderness,chorus,C,F:maj,IV,maj,2,4,0
Tenderness,chorus,C,C:maj,I,maj,3,4,0
Tenderness,chorus,C,G:maj,V,maj,4,4,0
Tenderness,verse,B,F:maj,IV,maj,1,8,0
Tenderness,verse,B,F:maj,IV,maj,2,8,0
Tenderness,verse,B,C:maj,I,maj,3,8,0
Tenderness,verse,B,G:maj,V,maj,4,8,0
Tenderness,verse,B,F:maj,IV,maj,5,8,0
Tenderness,verse,B,F:maj,IV,maj,6,8,0
Tenderness,verse,B,C:maj,I,maj,7,8,0
Tenderness,verse,B,G:maj,V,maj,8,8,0
Tenderness,verse,B,F:maj,IV,maj,1,8,0
Tenderness,verse,B,F:maj,IV,maj,2,8,0
Tenderness,verse,B,C:maj,I,maj,3,8,0
Tenderness,verse,B,G:maj,V,maj,4,8,0
Tenderness,verse,B,F:maj,IV,maj,5,8,0
Tenderness,verse,B,F:maj,IV,maj,6,8,0
Tenderness,verse,B,C:maj,I,maj,7,8,0
Tenderness,verse,B,G:maj,V,maj,8,8,0
Tenderness,bridge,D,E:min,III,min,1,8,0
Tenderness,bridge,D,E:min,III,min,2,8,0
Tenderness,bridge,D,F:maj,IV,maj,3,8,0
Tenderness,bridge,D,G:maj,V,maj,4,8,0
Tenderness,bridge,D,E:min,III,min,5,8,0
Tenderness,bridge,D,E:min,III,min,6,8,0
Tenderness,bridge,D,A:min,VI,min,7,8,0
Tenderness,bridge,D,G:maj,V,maj,8,8,0
Tenderness,bridge,D,E:min,III,min,1,8,0
Tenderness,bridge,D,E:min,III,min,2,8,0
Tenderness,bridge,D,F:maj,IV,maj,3,8,0
Tenderness,bridge,D,G:maj,V,maj,4,8,0
Tenderness,bridge,D,E:min,III,min,5,8,0
Tenderness,bridge,D,E:min,III,min,6,8,0
Tenderness,bridge,D,A:min,VI,min,7,8,0
Tenderness,bridge,D,G:maj,V,maj,8,8,0
Tenderness,chorus,C,F:maj6/9,IV,maj6/9,1,8,0
Tenderness,chorus,C,F:maj,IV,maj,2,8,0
Tenderness,chorus,C,C:maj,I,maj,3,8,0
Tenderness,chorus,C,G:maj,V,maj,4,8,0
Tenderness,chorus,C,F:maj6/9,IV,maj6/9,5,8,0
Tenderness,chorus,C,F:maj,IV,maj,6,8,0
Tenderness,chorus,C,C:maj,I,maj,7,8,0
Tenderness,chorus,C,G:maj,V,maj,8,8,0
Tenderness,bridge,D',E:min,III,min,1,8,0
Tenderness,bridge,D',E:min,III,min,2,8,0
Tenderness,bridge,D',F:maj,IV,maj,3,8,0
Tenderness,bridge,D',F:maj,IV,maj,4,8,0
Tenderness,bridge,D',G:maj,V,maj,5,8,0
Tenderness,bridge,D',G:maj,V,maj,6,8,0
Tenderness,bridge,D',F:maj,IV,maj,7,8,0
Tenderness,bridge,D',F:maj,IV,maj,8,8,0
Tenderness,bridge,D',E:min,III,min,1,10,0
Tenderness,bridge,D',E:min,III,min,2,10,0
Tenderness,bridge,D',F:maj,IV,maj,3,10,0
Tenderness,bridge,D',F:maj,IV,maj,4,10,0
Tenderness,bridge,D',G:maj,V,maj,5,10,0
Tenderness,bridge,D',G:maj,V,maj,6,10,0
Tenderness,bridge,D',G:maj,V,maj,7,10,0
Tenderness,bridge,D',G:maj,V,maj,8,10,0
Tenderness,bridge,D',Bb:maj7,bVII,maj7,9,10,0
