StoptheWedding,intro,A,Bb:maj,I,maj,1,4,0
StoptheWedding,intro,A,Bb:maj,I,maj,2,4,0
StoptheWedding,intro,A,F:7,V,7,3,4,0
StoptheWedding,intro,A,Bb:maj,I,maj,3,4,0
StoptheWedding,intro,A,Bb:maj,I,maj,4,4,0
StoptheWedding,verse,B,Bb:maj,I,maj,1,4,0
StoptheWedding,verse,B,Bb:maj,I,maj,2,4,0
StoptheWedding,verse,B,Eb:maj,IV,maj,3,4,0
StoptheWedding,verse,B,Eb:maj,IV,maj,4,4,0
StoptheWedding,verse,B,F:maj,V,maj,1,4,0
StoptheWedding,verse,B,Eb:maj,IV,maj,2,4,0
StoptheWedding,verse,B,Bb:maj,I,maj,3,4,0
StoptheWedding,verse,B,Eb:maj,IV,maj,3,4,0
StoptheWedding,verse,B,Bb:maj,I,maj,4,4,0
StoptheWedding,verse,B,Bb:maj,I,maj,1,4,0
StoptheWedding,verse,B,Bb:7,I,7,2,4,0
StoptheWedding,verse,B,Eb:maj,IV,maj,3,4,0
StoptheWedding,verse,B,Eb:maj,IV,maj,4,4,0
StoptheWedding,verse,B,F:maj,V,maj,1,4,0
StoptheWedding,verse,B,Eb:maj,IV,maj,2,4,0
StoptheWedding,verse,B,Bb:maj,I,maj,3,4,0
StoptheWedding,verse,B,Eb:maj,IV,maj,3,4,0
StoptheWedding,verse,B,Eb:maj/5,IV,maj/5,4,4,0
StoptheWedding,verse,B,Bb:maj,I,maj,4,4,0
StoptheWedding,chorus,C,Bb:maj,I,maj,1,4,0
StoptheWedding,chorus,C,D:maj,III,maj,2,4,0
StoptheWedding,chorus,C,Eb:maj,IV,maj,3,4,0
StoptheWedding,chorus,C,E:dim,bV,dim,4,4,0
StoptheWedding,chorus,C,Bb:maj/5,I,maj/5,1,4,0
StoptheWedding,chorus,C,G:min7,VI,min7,1,4,0
StoptheWedding,chorus,C,C:min7,II,min7,2,4,0
StoptheWedding,chorus,C,F:7,V,7,2,4,0
StoptheWedding,chorus,C,Bb:maj,I,maj,3,4,0
StoptheWedding,chorus,C,Eb:maj,IV,maj,3,4,0
StoptheWedding,chorus,C,Bb:maj,I,maj,4,4,0
StoptheWedding,chorus,C,F:7,V,7,4,4,0
