ThePeopleInMe,verse,A,Ab:min,I,min,1,4,0
ThePeopleInMe,verse,A,Db:maj,IV,maj,2,4,0
ThePeopleInMe,verse,A,Eb:7,V,7,3,4,0
ThePeopleInMe,verse,A,Eb:7,V,7,4,4,0
ThePeopleInMe,verse,A,Ab:min,I,min,1,4,0
ThePeopleInMe,verse,A,Db:maj,IV,maj,2,4,0
ThePeopleInMe,verse,A,Eb:7,V,7,3,4,0
ThePeopleInMe,verse,A,Eb:7,V,7,4,4,0
ThePeopleInMe,verse,A,Ab:min,I,min,1,4,0
ThePeopleInMe,verse,A,Db:maj,IV,maj,2,4,0
ThePeopleInMe,verse,A,Eb:7,V,7,3,4,0
ThePeopleInMe,verse,A,Eb:7,V,7,4,4,0
ThePeopleInMe,verse,A,Ab:min,I,min,1,4,0
ThePeopleInMe,verse,A,Db:maj,IV,maj,2,4,0
ThePeopleInMe,verse,A,Eb:7,V,7,3,4,0
ThePeopleInMe,verse,A,Eb:7,V,7,4,4,0
ThePeopleInMe,verse,A,Ab:min,I,min,1,4,0
ThePeopleInMe,verse,A,Db:maj,IV,maj,2,4,0
ThePeopleInMe,verse,A,Eb:7,V,7,3,4,0
ThePeopleInMe,verse,A,Eb:7,V,7,4,4,0
ThePeopleInMe,verse,A,Ab:min,I,min,1,4,0
ThePeopleInMe,verse,A,Db:maj,IV,maj,2,4,0
ThePeopleInMe,verse,A,Eb:7,V,7,3,4,0
ThePeopleInMe,verse,A,Eb:7,V,7,4,4,0
ThePeopleInMe,verse,A,Ab:min,I,min,1,4,0
ThePeopleInMe,verse,A,Db:maj,IV,maj,2,4,0
ThePeopleInMe,verse,A,Eb:7,V,7,3,4,0
ThePeopleInMe,verse,A,Eb:7,V,7,4,4,0
ThePeopleInMe,verse,A,Ab:min,I,min,1,4,0
ThePeopleInMe,verse,A,Db:maj,IV,maj,2,4,0
ThePeopleInMe,verse,A,Eb:7,V,7,3,4,0
ThePeopleInMe,verse,A,Eb:7,V,7,4,4,0
ThePeopleInMe,chorus,B,B:maj,bIII,maj,1,4,0
ThePeopleInMe,chorus,B,Db:maj,IV,maj,2,4,0
ThePeopleInMe,chorus,B,Ab:min,I,min,3,4,0
ThePeopleInMe,chorus,B,G:min,VII,min,3,4,0
ThePeopleInMe,chorus,B,Ab:min,I,min,4,4,0
ThePeopleInMe,chorus,B,G:min,VII,min,4,4,0
ThePeopleInMe,chorus,B,B:maj,bIII,maj,1,5,0
ThePeopleInMe,chorus,B,Db:maj,IV,maj,2,5,0
ThePeopleInMe,chorus,B,Ab:min,I,min,3,5,0
ThePeopleInMe,chorus,B,G:min,VII,min,3,5,0
ThePeopleInMe,chorus,B,Ab:min,I,min,4,5,0
ThePeopleInMe,chorus,B,Db:maj,IV,maj,5,5,0
ThePeopleInMe,chorus,B,Eb:maj,V,maj,1,2,0
ThePeopleInMe,chorus,B,Eb:maj,V,maj,2,2,0
ThePeopleInMe,verse,A,Ab:min,I,min,1,4,0
ThePeopleInMe,verse,A,Db:maj,IV,maj,2,4,0
ThePeopleInMe,verse,A,Eb:7,V,7,3,4,0
ThePeopleInMe,verse,A,Eb:7,V,7,4,4,0
ThePeopleInMe,verse,A,Ab:min,I,min,1,4,0
ThePeopleInMe,verse,A,Db:maj,IV,maj,2,4,0
ThePeopleInMe,verse,A,Eb:7,V,7,3,4,0
ThePeopleInMe,verse,A,Eb:7,V,7,4,4,0
ThePeopleInMe,verse,A,Ab:min,I,min,1,4,0
ThePeopleInMe,verse,A,Db:maj,IV,maj,2,4,0
ThePeopleInMe,verse,A,Eb:7,V,7,3,4,0
ThePeopleInMe,verse,A,Eb:7,V,7,4,4,0
ThePeopleInMe,verse,A,Ab:min,I,min,1,4,0
ThePeopleInMe,verse,A,Db:maj,IV,maj,2,4,0
ThePeopleInMe,verse,A,Eb:7,V,7,3,4,0
ThePeopleInMe,verse,A,Eb:7,V,7,4,4,0
ThePeopleInMe,verse,A,Ab:min,I,min,1,4,0
ThePeopleInMe,verse,A,Db:maj,IV,maj,2,4,0
ThePeopleInMe,verse,A,Eb:7,V,7,3,4,0
ThePeopleInMe,verse,A,Eb:7,V,7,4,4,0
ThePeopleInMe,verse,A,Ab:min,I,min,1,4,0
ThePeopleInMe,verse,A,Db:maj,IV,maj,2,4,0
ThePeopleInMe,verse,A,Eb:7,V,7,3,4,0
ThePeopleInMe,verse,A,Eb:7,V,7,4,4,0
