meanTransistionProbabilities0.csv,I,bII,II,bIII,III,IV,bV,V,bVI,VI,bVII,VII
I,0.3976,0.0029,0.0538,0.0233,0.0223,0.2153,0.0021,0.1303,0.0236,0.0681,0.0509,0.0043
bII,0.3394,0.1208,0.11,0.0643,0.0087,0.0468,0.0728,0.0781,0.0814,0.0,0.0654,0.005
II,0.158,0.0178,0.1433,0.0129,0.0528,0.1161,0.0054,0.4068,0.0045,0.042,0.0337,0.0051
bIII,0.1156,0.0244,0.1062,0.1298,0.0112,0.2276,0.0085,0.0801,0.1321,0.0077,0.1481,0.0049
III,0.0474,0.012,0.1411,0.0271,0.1234,0.2218,0.0096,0.0668,0.0004,0.3279,0.0053,0.0153
IV,0.3715,0.0013,0.0425,0.0299,0.036,0.1973,0.0055,0.2283,0.0212,0.0182,0.0428,0.0003
bV,0.1349,0.0783,0.0506,0.0285,0.0319,0.2216,0.0522,0.2506,0.0457,0.019,0.0134,0.0735
V,0.462,0.0009,0.0358,0.0089,0.0199,0.1691,0.0022,0.2031,0.0263,0.0423,0.0152,0.0011
bVI,0.1726,0.0575,0.01,0.0718,0.0004,0.0767,0.0138,0.1966,0.1198,0.0438,0.232,0.0041
VI,0.0983,0.004,0.2459,0.0009,0.0672,0.2198,0.001,0.144,0.0137,0.1503,0.0447,0.0087
bVII,0.3006,0.0037,0.017,0.0725,0.0067,0.2567,0.0001,0.0868,0.0625,0.0599,0.1117,0.0165
VII,0.2326,0.0113,0.0369,0.0384,0.266,0.0414,0.0511,0.0429,0.0152,0.0543,0.0627,0.1368
