meanTransistionProbabilities2.csv,I,bII,II,bIII,III,IV,bV,V,bVI,VI,bVII,VII
I,0.5184,0.0042,0.0403,0.0201,0.0123,0.184,0.0025,0.1018,0.018,0.0406,0.049,0.0056
bII,0.301,0.2772,0.1152,0.0,0.0,0.0,0.0648,0.0741,0.1574,0.0,0.0103,0.0
II,0.0833,0.0154,0.2341,0.0002,0.0464,0.0844,0.0149,0.4247,0.0074,0.046,0.0406,0.0
bIII,0.0802,0.0185,0.0537,0.2967,0.0056,0.1744,0.0157,0.0648,0.0926,0.0111,0.1867,0.0
III,0.029,0.0,0.1231,0.0093,0.4059,0.1038,0.0,0.0805,0.0,0.2381,0.001,0.0093
IV,0.2759,0.0003,0.0442,0.0186,0.0308,0.3274,0.011,0.2216,0.013,0.0122,0.0418,0.0008
bV,0.1167,0.1944,0.0,0.0625,0.0,0.1667,0.125,0.2583,0.0347,0.0,0.0,0.0417
V,0.2446,0.0,0.0204,0.0101,0.0203,0.1116,0.0024,0.5153,0.0271,0.0221,0.0131,0.0033
bVI,0.0745,0.0223,0.0,0.0722,0.0006,0.0725,0.0128,0.1756,0.336,0.0102,0.2168,0.0051
VI,0.0859,0.0,0.1754,0.0008,0.0723,0.1738,0.0016,0.0771,0.0125,0.3661,0.0146,0.0164
bVII,0.2161,0.0064,0.015,0.0466,0.0128,0.2067,0.0,0.1011,0.0569,0.0405,0.2949,0.0021
VII,0.2,0.0,0.0,0.0,0.34,0.0,0.0,0.0067,0.0,0.1,0.0533,0.3
