A:min,VI
A:min,VI
C:maj,I
C:maj,I
A:min,VI
A:min,VI
C:maj,I
C:maj,I
A:min,VI
A:min,VI
C:maj,I
C:maj,I
A:min,VI
A:min,VI
C:maj,I
C:maj,I
A:min,VI
A:min,VI
C:maj,I
C:maj,I
F:maj,IV
F:maj,IV
D:maj,II
D:maj,II
G:maj,V
G:maj,V
C:maj,I
C:maj,I
A:maj,VI
A:maj,VI
C:maj,I
C:maj,I
A:maj,VI
A:maj,VI
C:maj,I
C:maj,I
F:maj,IV
F:maj,IV
D:maj,II
D:maj,II
G:maj,V
G:maj,V
C:maj,I
C:maj,I
A:min,VI
A:min,VI
C:maj,I
C:maj,I
A:min,VI
A:min,VI
C:maj,I
C:maj,I
F:maj,IV
F:maj,IV
D:maj,II
D:maj,II
G:maj,V
G:maj,V
C:maj,I
C:maj,I
A:maj,VI
A:maj,VI
C:maj,I
C:maj,I
A:maj,VI
A:maj,VI
C:maj,I
C:maj,I
F:maj,IV
F:maj,IV
D:maj,II
D:maj,II
G:maj,V
G:maj,V
C:maj,I
C:maj,I
A:min,VI
A:min,VI
C:maj,I
C:maj,I
A:min,VI
A:min,VI
C:maj,I
C:maj,I
A:min,VI

Ab:maj,I
Db:maj/5,IV
Ab:maj,I
G:hdim7,VII
C:7,III
F:min,VI
C:7/5,III
C:7,III
F:min,VI
C:7/5,III
F:min/b3,VI
C:7/5,III
F:min,VI
Bb:min7,II
Eb:7,V
Ab:maj,I
Ab:maj,I
G:hdim7,VII
C:7,III
F:min,VI
C:7/5,III
F:min/b3,VI
C:7/5,III
F:min,VI
Bb:min7,II
C:min7,III
Eb:11,V
Eb:maj,V
Ab:maj,I
Ab:7,I
Db:maj,IV
Db:maj,IV
Ab:maj,I
Ab:maj,I
Eb:7,V
Eb:7,V
Ab:maj,I
Ab:maj7,I
Db:maj,IV
Gb:maj,bVII
Db:maj,IV
Db:maj7,IV
C:min7,III
Bb:min7,II
Ab:maj,I
Gb:maj(9),bVII
Db:maj,IV
Ab:maj,I
Ab:maj,I
Db:maj,IV
Gb:7,bVII
F:min7,VI
Bb:min7,II
Eb:11,V
Eb:maj,V
Ab:maj,I
Ab:7,I
Db:maj,IV
Db:maj,IV
Ab:maj,I
Ab:maj,I
Eb:7,V
Eb:7,V
Ab:maj,I
Ab:maj7,I
Db:maj,IV
Gb:maj,bVII
Db:maj,IV
Db:maj7,IV
C:min7,III
Bb:min7,II
Ab:maj,I
Db:maj/5,IV
Ab:maj,I
Db:maj/5,IV
Ab:maj,I
Db:maj/5,IV
Ab:maj,I
Db:maj/5,IV
Ab:maj,I
Db:maj/5,IV
Ab:maj,I
Db:maj/5,IV

C:5,I
C:maj,I
G:maj/3,V
F:maj/3,IV
G:maj/3,V
C:maj,I
C:maj,I
G:maj/3,V
F:maj/3,IV
G:maj/3,V
C:maj,I
C:maj/7,I
F:sus2/3,IV
F:maj/3,IV
F:maj/9,IV
G:7,V
C:maj,I
G:maj/3,V
F:maj/3,IV
G:maj,V
C:maj(9),I
C:maj(9),I
C:maj(9),I
G:maj(9),V
F:maj(9),IV
G:maj,V
C:maj(9),I
C:maj(9),I
G:maj(9),V
F:maj(9),IV
G:maj,V
C:maj(9),I
E:min/5,III
A:min(11),VI
A:maj(11)/b7,VI
F:maj(9),IV
G:maj,V
C:maj(9),I
G:maj(9),V
F:maj(9),IV
G:maj,V
C:maj,I
C:maj,I
C:maj,I
G:maj,V
F:maj,IV
G:maj,V
C:maj,I
C:maj,I
G:maj,V
F:maj,IV
G:maj,V
C:maj,I
E:min,III
A:min(11),VI
F:maj(9),IV
G:maj(9),V
C:maj(9),I
G:maj(9),V
F:maj(9),IV
G:maj,V
C:maj(9),I
C:maj(9),I
C:maj(9),I
C:maj,I

C:maj,I
C:maj,I
C:maj,I
D:min,II
D:min,II
F:maj,IV
G:maj,V
G:maj,V
C:maj,I
C:maj,I
C:maj,I
D:min,II
D:min,II
F:maj,IV
G:maj,V
G:maj,V
C:maj,I
G:min7,V
C:maj/5,I
Bb:maj/5,bVII
F:maj,IV
G:maj,V
